HASLEMERE-JESSES-OTHER-GAUGE,,,,,,,,,,
Grid ref,SU909337,Long,-0.70329532,Lat,51.095414,Elevation,575,ft.,,
Station no,RR8506,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.98,5.44,1.43,7.04,0.88,,
February,,,,2.22,4.34,0.85,,1.57,,
March,,,,3.93,1.58,5.1,,1.07,,
April,,,,2.84,1.59,1.47,0.62,5.26,,
May,,,,3.46,3.44,0.56,2.49,2.4,,
June,,,,4.87,1.15,6.97,1.87,2.13,,
July,,,,3.58,1.32,0.77,,1.48,,
August,,,,4.89,2.5,3.4,,2.65,,
September,,,,3.56,1.8,2.42,1.99,0.95,,
October,,,,8.69,3.1,1.99,6.35,8.39,,
November,,,,2.03,1.6,4.64,5.38,2.99,,
December,,,,3.05,3.79,0.83,2.47,4.4,,
Total,,,,46.1,31.65,30.43,,34.17,,
,,,,,,,,,,
NGR is Jesses. Altitudes match. Gauge moved to Lowder Mill at the end of 1908,,,,,,,,,,
