TONGUE MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC591569,Long,-4.4172,Lat,58.4778,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4.15,2.35,3,1.68,3.71,3.63,5.25,5.08,4.17,2.49,3.66,5.29,3.78,4.44,2.49,4.35,2.67,4.51,7.61,2.08,3.73,6.61,5.91,3.11,3.17,3.63,5.62,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.84,3.72,3.54,2.37,3.16,3.7,3.2,1.61,2.86,1.94,4.68,1.34,1.65,2.59,3.21,5.21,2.33,1.25,4.39,0.91,1.43,4.65,1.23,5.58,3,3.23,2.46,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.15,2.8,4.14,3.16,3.83,3.32,2.56,2.2,1.96,3.99,2.41,3.5,2.86,0.99,2.37,2.82,3.81,2.15,2.71,0.58,3.48,2.1,4.11,1.83,3.13,3.29,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,7.94,3.09,3.54,1.88,1.85,3.18,2.7,3.67,2.26,4.32,3.1,1.39,4.41,4.22,2.51,3.09,1.91,4.97,1.81,2.14,0.96,2.51,4.23,1.97,6.61,2.55,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.98,1.77,2.53,2.37,3.22,1.48,3.86,1.61,1.75,0.87,2.15,3.29,2.92,5.56,3.13,3.97,2.08,2.1,1.86,2.34,2.12,3.71,2.34,1.4,2.56,1.61,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.35,3.66,3.27,2.81,1.4,0.87,4.8,3.4,3,3.56,1.32,1.77,3.5,2.84,2.38,1.68,3.36,4.49,3.56,3.75,2.33,3.07,0.63,1.93,1.78,2.95,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.23,3.03,2.31,0.9,4.97,4.38,2.21,2.01,5.67,0.77,2.16,2.55,2.2,3.52,3.72,2.74,2.32,1.77,2.14,1.78,3.01,3.51,4.84,2.7,4.65,2.1,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,6.2,1.62,6.86,0.86,2.92,3.08,0.99,4.11,5.28,7.42,2.43,3.24,2.75,6.87,5.87,2.67,2.55,2.88,3.28,5.08,5.86,1.08,3.24,4.76,4.95,4.81,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.64,3.61,2.09,2.99,3.67,6.06,2.01,4.59,4.91,4.77,3.85,4.59,2.35,3.35,6.32,5.25,3.5,5.71,2.57,4.77,2.63,1.78,5.19,0.92,2.26,6.4,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.82,3.25,3.42,3.01,1.75,1.27,4.2,7.75,2.66,3.85,0.78,3.97,2.39,6.45,2.78,4.35,7.14,6.22,3.43,7.04,5.29,3.61,5.07,5.23,6.3,6.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,6.79,5.5,5.1,5.26,5.91,4.15,4.9,7.42,2.47,6.56,4.08,2.14,3.03,4.67,2,3.22,3.04,4.83,5.42,3.21,7.41,2.04,4.34,3,2.89,2.42,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.98,3,4.32,5.46,6.63,7.32,3.94,3.07,4.64,3.98,2.24,6.47,3.33,4.92,3.28,4.54,4.67,0.9,3.44,6.2,2.78,4.41,2.61,0.84,2.95,4.17,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,45.07,37.4,44.12,32.75,43.02,42.44,40.62,46.52,41.63,44.52,32.86,39.54,35.17,50.42,40.06,43.89,39.38,41.78,42.22,39.88,41.03,39.08,43.74,33.27,44.25,43.86,37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1919 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
