HOUSE OF TONGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC592587,Long,-4.4172,Lat,58.4939,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,4.8,5.9,6.4,2.6,2.5,2.4,7.5,1.7,5.7,4.6,3.5,2.4,3,3,1.9,5.2,3.1,,,,,,3.3,2.1,0.84,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1,1.6,3.3,2.5,2,1.2,3.3,12.7,1.9,7.5,4,6.5,6.5,2.8,2,0.4,2.2,,,,,,0.6,3.1,4.3,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,4.1,2.6,5.2,3.8,5.4,8.8,2.5,4.3,6.2,3.4,5,2.8,2.3,1.9,1.8,1.3,1.9,2.5,,,,,3,0.68,3.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.9,3,3.9,1,1.4,2.8,4.8,0.5,1.2,1.4,2.9,2.7,4,2.5,1.7,1.7,1.4,,,,,,0.62,1.4,4.75,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.6,2.4,0,3.4,1,2.5,2.5,2,0.7,0.9,0.4,1.8,1.5,1.4,0.6,2.2,1.4,1.5,,,,,1.7,0.7,1.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.5,2.5,1.6,2.8,0.8,2.1,2.8,2.2,0.3,2,3,1.2,0.7,1.2,0.2,5.2,1.4,1.75,,,,,0.9,2.35,1.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.2,6.5,3,1.4,6,3,0.7,2.2,2,2.2,2.8,0.3,2,2,3.4,3,3,,,,,,3.1,3.09,3.8,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.2,1.8,3.6,2.6,5.3,5.4,1.6,3.2,1.2,1.7,2.8,1.8,8,1.3,0.9,2.1,2.8,4.2,,,,,,4.9,0.4,2.55,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.6,3.4,2,3.5,4.3,5.2,0.9,7.2,3.9,1.1,3,4.4,1.5,6,8.1,2.6,3,5.7,,,,,,1,2.8,1.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,0.7,3.3,6.5,8.3,6.7,2.2,5.9,2.7,4.6,3.5,3.5,5.2,4.5,4.9,3.5,1.6,8,6.5,,,,,,2.75,5.7,2.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,8.5,2,3.3,1.9,2.5,,3.3,3.6,4.8,2.4,10,2,3.5,8.4,3.8,2.5,3.4,,,,,,,2.52,6.4,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,5.5,4.6,2,6.5,5.8,,3,0.8,3.6,2.2,6.8,3.8,3.5,3.2,4,2.5,3.2,,,,,,,2.72,5.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,30.2,41.9,46.2,42.1,,37.5,41.6,43.7,28.9,48.1,38.8,38.7,43.8,35.1,22.9,39.4,,,,,,,27.11,33.92,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
