"TONGUE, MELNESS MANSE",,,,,,,,,,,,
Grid ref,NC581621,Long,-4.438294,Lat,58.523831,,,,,,,
Station no,5803,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,3.74,,,,
March,,,,,,,,3.19,,,,
April,,,,,,,,1.98,,,,
May,,,,,,,,1.84,,,,
June,,,,,,,,5.01,,,,
July,,,,,,,,2.17,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.93,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
