"DUNGEON GHYLL NEW HOTEL NO. 1",,,,,,,,,,,,
Grid ref,NY295065,Long,-3.088753,Lat,54.448984,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,12.90,9.71,10.09,17.76,13.73,9.42,19.39,6.86,16.54,10.18,,
February,11.03,5.03,4.76,19.78,9.76,9.58,9.33,10.22,8.19,11.37,,
March,0.80,5.84,7.79,17.01,9.61,9.01,7.59,13.61,9.81,7.70,,
April,7.75,7.55,6.29,4.68,13.64,13.48,3.39,5.11,4.02,6.57,,
May,5.32,2.69,4.81,6.53,4.98,5.52,11.39,9.96,6.00,5.35,,
June,7.38,5.66,1.41,3.35,4.18,5.45,3.98,11.74,5.30,3.97,,
July,3.13,2.05,5.60,8.24,5.50,5.83,6.78,4.60,8.11,13.68,,
August,9.70,11.22,6.88,18.71,9.23,7.97,9.93,7.91,12.57,5.28,,
September,7.14,7.11,4.84,11.42,6.66,6.05,4.08,1.39,16.79,6.29,,
October,14.92,10.60,8.37,25.62,5.81,9.37,16.14,12.03,4.40,17.24,,
November,9.76,17.36,9.56,8.82,10.30,12.46,12.09,8.98,8.38,7.20,,
December,21.80,14.05,16.11,11.55,10.54,10.38,9.55,13.26,9.62,17.03,,
Total,111.63,98.87,86.51,153.47,103.94,104.52,113.64,105.67,109.73,111.86,,
Calc annual,111.63,98.87,86.51,153.47,103.94,104.52,113.64,105.67,109.73,111.86,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
