BALME VICARAGE SNAITH,,,,,,,,,,,,,,,,,,,,
Grid ref,SE610192,Long,-1.0782777,Lat,53.665732,Elevation,25,ft,,,,,,,,,,,,
Station no,RR3097,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.5,2.25,0.82,3.01,1.55,1.15,,,,,
February,,,,,,,,,,1.44,1.39,2.08,2.95,1.2,1.59,,,,,
March,,,,,,,,,,2.62,2.14,1.23,2.03,2.46,0.89,,,,,
April,,,,,,,,,,1.67,0.33,3.41,3.83,0.8,1.92,,,,,
May,,,,,,,,,,6.1,0.66,1.72,1.89,2.05,1.62,,,,,
June,,,,,,,,,,1,2.05,4.93,4.39,2.17,1.94,,,,,
July,,,,,,,,,,0.37,0.62,2.82,5.46,2.2,1.3,,,,,
August,,,,,,,,,,1.86,1.54,1.4,3.02,3.98,2,,,,,
September,,,,,,,,,,2.8,1.27,6.38,5.47,2.5,2.23,,,,,
October,,,,,,,,,,1.33,7.02,2.02,4.24,2.22,2.37,,,,,
November,,,,,,,,,,1.87,1.54,1.24,3.01,2.47,3.88,,,,,
December,,,,,,,,,,3.31,3.53,1.21,3.34,0.29,2.95,,,,,
Total,,,,,,,,27.08,25.08,26.87,24.34,29.26,42.64,23.89,23.84,,,,,
