BROMHAM-PARK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL0161751312,Long,-0.51621817,Lat,52.150752,Elevation,170,ft,,,,,,,,,,,,
Station no,1181/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.79,4.78,3.2,2.67,4.63,,2.98,2.46,3.8,1.3,1.51,1.08,1.43,4.77,1.02,
February,,,,,2.34,2.45,4.79,0.97,0.66,1.74,1.34,0.43,0.71,1.1,1.29,2.27,1.14,0.62,0.74,
March,,,,,0.42,2.35,3.54,0.2,1.83,1.9,2.73,1.26,0.89,0.1,0.63,1.2,4.64,0.82,1.32,
April,,,,,4.12,1.85,2.68,0,2.34,2.02,0.76,0.55,0.94,2.21,0.66,1.2,2.11,1.28,1.32,
May,,,,,1.33,1.21,4.2,1.86,1.79,1.38,1.84,2.21,1.98,1.34,2.46,2.13,1.33,4.16,3.23,
June,,,,,2.3,4.9,1.62,0.68,2.09,1.04,1.36,0.13,2.32,1.67,1.95,2.41,2.05,2.88,1.25,
July,,,,,0.23,6.95,1.83,1.3,2.36,2.67,2.4,2.47,0.86,1.84,1.62,1.5,1.95,1.09,1.05,
August,,,,,1.73,0.46,1.49,3.4,2.79,0,3.71,1.36,2.04,2.01,2.21,3.14,0,3.11,0.87,
September,,,,,5.07,3.99,2.24,1.23,0.92,0.5,0.5,0.89,1.33,2.63,2.32,3.48,1.14,2.36,0.51,
October,,,,,2.65,1.94,2.39,2.74,4.24,2.39,1.82,1.94,1.81,2.66,2.78,1.89,0.23,2.61,5.16,
November,,,,,4.25,3.19,2.13,2.45,3.45,6.12,1.3,1.84,1.16,2.75,0.4,5.08,1.36,1.78,2.38,
December,,,,,3.15,1.76,2.44,3.12,1.91,1.11,1.44,1.8,0.85,0.91,2.91,2.17,2.78,2.25,1.6,
Total,,,,,28.38,35.83,32.55,20.62,29.01,,22.18,17.34,18.69,20.52,20.74,27.55,20.16,27.73,20.45,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated,,,,,,,,,,,,,,,,,,,,
1940 Aug dash=zero,,,,,,,,,,,,,,,,,,,,
