ABINGDON,,,,,,,,,,,,,,,,,,,,
Grid ref,SU494969,Long,-1.2870895,Lat,51.668711,Elevation,180,ft.,,,,,,,,,,,,
Station no,RR7987,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,2.28,3.33,3.26,1.27,1.42,3.75,2.39,2.08,,,,,
February,,,,,,,,1.34,1.25,1.94,1.46,1.15,1.33,1.07,1.36,,,,,
March,,,,,,,,2.15,1.56,1.3,1.25,0.94,1.58,1.95,0.43,,,,,
April,,,,,,0.6,,2.1,1.49,0.97,0.57,2.29,2.15,0.62,0.96,,,,,
May,,,,,,2.14,,1.78,0.47,3.15,0.89,0.45,2.23,1.81,1.38,,,,,
June,,,,,,2.67,,1.46,0.91,1.23,0.55,2.63,2.13,1.21,0.52,,,,,
July,,,,,,,,3.32,1.72,0.58,1.36,4.23,2.66,1.22,0.63,,,,,
August,,,,,,,,2.07,2.8,1.52,2.33,0.54,1.74,2.09,1.59,,,,,
September,,,,,,0.14,,1.42,3.8,3.86,0.84,4.03,1.14,2.14,3.45,,,,,
October,,,,,,5.09,,2.47,2.07,1.25,2.56,1.01,2.68,2.48,3.2,,,,,
November,,,,,,2.04,,0.62,1.15,2.36,1.11,0.49,2.96,1.63,2.42,,,,,
December,,,,,,1.68,,1.56,3.5,3.15,1.54,1.28,3.24,0.46,1.91,,,,,
Total,,,,,,,,22.57,24.05,24.57,15.73,20.46,27.59,19.07,19.93,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Ock Lea House where the observer, William Belcher lived, and matches the Long/lat on the record. Altitudes match",,,,,,,,,,,,,,,,,,,,
