MARKET-HARBOROUGH-FAIRFIELD-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SP730875,Long,-0.92653986,Lat,52.480552,Elevation,276,ft,,,,,,,,,,,,
Station no,RR6628,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.93,1.98,3.15,2.37,3.95,1.65,1.82,0.49,,,,,,,,,
February,,,,1.47,1.98,1.58,2.42,2.28,1.6,2.84,2.34,,,,,,,,,
March,,,,2.42,0.83,0.77,2.76,1.94,0.55,0.83,1.83,,,,,,,,,
April,,,,0.94,1.28,1.6,3.55,3.19,2.2,2.2,1.94,,,,,,,,,
May,,,,2.12,1.38,2.14,0.53,2.18,5.31,3.09,2.12,,,,,,,,,
June,,,,5.29,0.69,4.4,1.13,1.15,2.25,4.23,3.45,,,,,,,,,
July,,,,2.09,0.71,7.15,0.82,3,0.97,4.13,8.4,,,,,,,,,
August,,,,2.57,2.36,2.76,2.13,3.64,5.66,3.49,1.13,,,,,,,,,
September,,,,1.26,3.5,3.2,4.72,1.53,2.05,2.87,4.19,,,,,,,,,
October,,,4.6,2.18,2.83,6.08,1.76,1.55,2.53,0.59,6.6,,,,,,,,,
November,,,,2.08,2.63,4.12,3.3,2.88,3.88,1.24,2.34,,,,,,,,,
December,,,,0.5,1.74,1.14,6.2,1.99,1.63,0.96,2.83,,,,,,,,,
Total,,,,24.85,21.91,38.09,31.69,29.28,30.28,28.29,37.66,,,,,,,,,
