MAIDSTONE LINTON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ759500,Long,0.517546,Lat,51.222094,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.47,1.82,3.13,0.79,1.61,2.87,0.38,1.75,2.12,0.77,4.48,3.83,3.05,3.65,3.04,1.66,3.5,4.68,2.69,1.27,3.62,1.24,,,,,,,,,,,1.49,0.71,0.92,2.22,1.79,,,,,,,,
February,1.24,1.12,0.27,0.77,1.17,1.4,1.82,1.05,0.92,1.36,2.49,4.55,1.53,1.35,3.15,1.14,1.07,1.33,2.24,1.31,0.93,2.94,,,,,,,,,,,0.55,1.53,2.2,0.99,0.02,,,,,,,,
March,1.69,0.99,1.27,0.8,1.66,2.61,2.46,3.9,0.77,3.06,2.14,2.27,3.42,1.29,2.91,1.64,1.44,1.93,1.66,0.83,0.92,2.65,,,,,,,,,,,1.64,3.03,1.78,2.66,2.19,,,,,,,,
April,0.26,3.89,1.76,1.93,1.89,2.84,0.97,1.8,0.72,0.59,0.38,2.09,1.67,1.21,1.33,0.43,2.8,1.56,0.81,1.91,1.38,1.93,,,,,,,,,,,1.8,1.43,3.09,2.5,0.51,,,,,,,,
May,2.32,4.08,1.06,2.16,2.22,3.12,1.19,2.28,1.62,2.35,2.89,0.81,2.35,1.92,3.78,1.14,1.2,4.35,0.97,1.21,1.38,0.99,,,,,,,,,,,1.71,0.76,1.29,1.42,2.64,,,,,,,,
June,1.21,1.36,1.67,0.67,1.75,5.09,2.14,2.29,4.51,1.24,1.17,3.4,0.85,0.51,0.87,0.32,2.92,4.13,3.7,2.63,2.3,0.98,,,,,,,,,,,1.18,2.76,1.2,1.52,1.61,,,,,,,,
July,3.23,2.48,1.07,2.69,2.01,2.07,3.25,1.72,0.73,0.63,3.48,2.73,4.53,0.63,0.32,1.95,2.84,2.21,1.6,0.72,5.6,0.7,,,,,,,,,,,1.04,3.68,2.23,3.43,3.69,,,,,,,,
August,0.71,2.03,2.93,1.2,2.13,3.54,0.93,2.5,2.42,1.63,5.26,2.15,1.55,2.3,1.16,2.06,1.09,1.35,2.13,2.07,1.38,2.52,,,,,,,,,,,1.92,3.48,2.74,2.55,2.87,,,,,,,,
September,0.94,3.64,5.41,1.19,3.34,3.36,2.16,1.93,3.28,2.51,0.08,4.25,1.43,2.7,3.81,2.08,4.44,2.01,2.69,3.02,2.2,3.34,,,,,,,,,,,2.41,0.81,1.63,1.19,0.98,,,,,,,,
October,4.19,2.09,3.12,1.45,4.28,1.71,0.89,4.3,2.1,1.47,8.14,1.38,2.65,2.07,2.79,3.89,1.44,4.48,3.31,3.59,3.85,1.32,,,,,,,,,,,1.88,1.48,4.68,1.05,5.44,,,,,,,,
November,2.65,1.58,2.15,0.77,3.67,2.67,6.1,1.3,1.85,4.5,2.74,1.89,1.26,1.78,2.14,1.7,0.76,5.81,1.73,1.98,4.39,2.33,,,,,,,,,,,4.97,3.86,0.84,3.25,1.9,,,,,,,,
December,1.93,2.71,0.49,1.91,3.82,2.38,1.72,2.11,1.71,1.14,1.93,1.47,2.42,5.78,3.79,3.68,1.62,5.26,0.46,2.95,2.3,5.16,,,,,,,,,,,1.89,1.39,1.53,0.6,2.69,,,,,,,,
Total,20.84,27.79,24.33,16.33,29.55,33.66,24.01,26.93,22.75,21.25,35.18,30.82,26.71,25.19,29.09,21.69,25.12,39.1,23.99,23.49,30.25,26.1,,,,,,,,,,,22.48,24.92,24.13,23.38,26.33,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR crossed through data removed (entered on wrong sheet - see other gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
