"MAIDSTONE LINTON PARK",,,,,,,,,,,,
Grid ref,TQ759500,Long,0.517546,Lat,51.222094,,,,,,,
Station no,RR70,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.56,1.05,1.05,2.25,3.89,0.99,3.12,1.08,1.59,0.85,,
February,5.00,1.66,1.46,1.32,2.57,0.95,1.76,1.22,1.27,0.70,,
March,1.08,2.48,1.33,2.03,1.77,2.47,2.10,0.86,2.06,3.62,,
April,1.01,2.23,0.49,2.40,0.80,2.57,1.16,2.50,2.47,1.46,,
May,1.03,1.17,2.42,3.23,1.85,1.30,1.56,2.11,1.16,1.26,,
June,3.40,1.68,2.23,5.11,1.54,4.85,1.94,2.22,1.16,3.22,,
July,1.03,1.96,1.77,5.51,1.72,1.11,0.47,1.39,3.13,3.01,,
August,1.67,2.11,3.37,2.73,1.15,2.24,0.94,1.94,3.74,2.10,,
September,1.00,1.20,1.50,1.94,1.23,1.77,1.83,0.42,0.98,4.13,,
October,1.94,2.11,2.30,5.41,2.04,1.42,3.72,4.30,1.96,5.76,,
November,2.64,0.73,1.89,2.00,1.66,3.99,5.23,1.70,1.04,1.01,,
December,2.92,4.47,2.16,1.39,2.74,0.67,2.26,2.49,2.58,3.52,,
Total,26.28,22.85,21.97,35.32,22.96,24.33,26.09,22.23,23.14,30.64,,
Calc annual,26.28,22.85,21.97,35.32,22.96,24.33,26.09,22.23,23.14,30.64,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
