MAIDSTONE LINTON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ759500,Long,0.517546,Lat,51.222094,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.55,1.79,0.6,2.57,2.89,2.24,0.82,2.44,0.59,2.95,3.56,1.05,1.05,2.25,3.89,0.99,3.12,1.08,1.59,0.85,2.46,1.59,2.72,3.6,0.67,3.41,1.02,1.35,2.59,4.45,3.11,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.18,0.02,1.69,3.65,1.76,0.81,0.42,2.33,1.07,2.3,5,1.66,1.46,1.32,2.57,0.95,1.76,1.22,1.27,0.7,3.82,1.31,1.94,0.87,3,4.33,4.88,1.13,1.01,1.73,0.65,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.67,2.26,1.92,0.38,1.04,1.51,2.57,3.86,3.02,0.79,1.08,2.48,1.33,2.03,1.77,2.47,2.1,0.86,2.06,3.62,1.44,2.86,3.39,2.17,4.84,1.3,4.66,1.65,0.97,3.28,1.24,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.6,0.56,1.91,0.02,1.79,1.48,0.66,1.64,1.2,2.79,1.01,2.23,0.49,2.4,0.8,2.57,1.16,2.5,2.47,1.46,1.97,2.38,0.14,3.34,1.45,1.31,1.58,1.95,2.2,3.39,2.96,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.51,2.89,0.39,0.92,1.97,0.08,0.44,1.41,3.03,1.53,1.03,1.17,2.42,3.23,1.85,1.3,1.56,2.11,1.16,1.26,2.74,0.86,1.3,0.84,1.03,3.02,1.63,2.41,2.21,0.43,1.01,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.66,2.69,2.7,0.91,2.43,0.07,4.59,1.9,1.45,0.94,3.4,1.68,2.23,5.11,1.54,4.85,1.94,2.22,1.16,3.22,2.89,2.25,2.75,0.24,1.01,0.44,2.21,2.27,0.8,0.94,1.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.69,3.82,2.08,2.31,4.5,2.8,1.06,0.44,0.51,1.47,1.03,1.96,1.77,5.51,1.72,1.11,0.47,1.39,3.13,3.01,2.54,0.67,1.47,3,1.65,2.82,1.44,4.76,3.66,2.48,3.39,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.76,3.15,3.17,1.19,1.79,1.62,2.72,2.76,1.66,1.36,1.67,2.11,3.37,2.73,1.15,2.24,0.94,1.94,3.74,2.1,2.47,0.59,5.63,1.2,0.85,1.84,2.72,5.47,1.11,2.65,1.48,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.2,0.96,2.34,2.39,3.06,0.51,6.04,2.65,0.52,2.69,1,1.2,1.5,1.94,1.23,1.77,1.83,0.42,0.98,4.13,0.74,1.35,2.83,2.16,0.75,3.03,1.29,1.17,5.88,1.37,3.71,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.05,5.86,5.7,3.82,4.01,2.99,4.78,0.27,2.17,1.93,1.94,2.11,2.3,5.41,2.04,1.42,3.72,4.3,1.96,5.76,2.3,5.35,3.13,4.71,2.78,1.83,3.32,2.93,3.06,0.91,1.4,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3.4,1.96,2.66,2.72,3.97,4.1,1.12,1.2,2.89,3.29,2.64,0.73,1.89,2,1.66,3.99,5.23,1.7,1.04,1.01,3.9,4.63,2.6,3.55,3.94,3.65,4.39,1.46,2.17,2.76,1.28,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,0.68,2.75,1.62,2.17,1.62,2.33,3.54,2.94,1.97,1.82,2.92,4.47,2.16,1.39,2.74,0.67,2.26,2.49,2.58,3.52,3.42,5.09,2.7,1.23,7.23,6.4,3.4,2.78,1.85,3.4,2.33,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.95,28.71,26.78,23.05,30.83,20.54,28.76,23.84,20.08,23.86,26.28,22.85,21.97,35.32,22.96,24.33,26.09,22.23,23.14,30.64,30.69,28.93,30.6,26.91,29.2,33.38,32.54,29.33,27.51,27.79,23.62,15.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
