HAYES-TOWN-HALL-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ094810,Long,-0.42471657,Lat,51.517338,Elevation,124,ft.,,,,,,,,,,,,
Station no,847,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.59,,4.55,2.43,2.53,2.2,4.36,1.62,,,,,,
February,,,,,,,3.99,,0.83,1.77,2.47,0.81,1.32,0.8,,,,,,
March,,,,,,,2.65,,1.21,2.75,2.92,1.74,0.38,0.13,,,,,,
April,,,,,,,,,2.47,1.64,1.48,1.35,0.77,1.44,,,,,,
May,,,,,,,2.73,,1.32,1.4,1.76,2.89,2.06,,,,,,,
June,,,,,,,1.76,,1.21,1.14,1.81,0.32,1.32,,,,,,,
July,,,,,,,0.95,,2.08,2.46,4.49,1.47,2.39,,,,,,,
August,,,,,,,1.12,,3.19,0.1,4.99,2.21,1.35,,,,,,,
September,,,,,,,2.12,,1.09,1.05,0.48,0.74,1.66,,,,,,,
October,,,,,,,2.61,,5.22,2.78,0.93,3.49,2.65,,,,,,,
November,,,,,,,1.34,,4.46,6.21,2.63,1.91,1.27,,,,,,,
December,,,,,,,3.04,,1.13,1.14,1.6,2.57,1.17,,,,,,,
Total,,,,,,,,,28.76,24.87,28.09,21.7,20.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Town Hall Park. Altitudes match,,,,,,,,,,,,,,,,,,,,
1937 readings were taken from a different gauge to those from 1939 onwards. Gauges assumed to be in same location,,,,,,,,,,,,,,,,,,,,
