HAYES-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ107798,Long,-0.40636507,Lat,51.506299,Elevation,98,ft.,,,,,,,,,,,,,
Station no,847,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,0.98,2.52,1.1,1.89,1.68,1.26,0.76,4.25,,,,
February,,,,,,,,,,0.44,0.49,1.35,0.09,2.07,0.22,2.21,1.64,,,,
March,,,,,,,,,,0.01,1.17,0.13,1.14,2.27,2.21,0.31,0.99,,,,
April,,,,,,,,,,0.71,1.67,3.23,1.76,0.6,1.96,2.58,1.38,,,,
May,,,,,,,,,,1.04,2.48,2.2,4.23,1.66,0.43,0.86,0.55,,,,
June,,,,,,,,,,0.92,1.64,1.64,0.88,1.31,1,3.56,3.44,,,,
July,,,,,,,,,,2.17,1.46,3.01,2.38,1.41,1.47,0.65,2.34,,,,
August,,,,,,,,,,1.76,2.71,5.01,1.53,0.69,2.32,1.98,0.4,,,,
September,,,,,,,,,,0.3,2.53,2.17,1.75,2.2,1.39,3.28,2.88,,,,
October,,,,,,,,,,2.7,0.95,0.66,4.69,1.33,1.21,2.45,1.52,,,,
November,,,,,,,,,,4.92,3.71,2.34,1.31,1.16,1.7,4.12,3.02,,,,
December,,,,,,,,,,4.38,1.82,0.58,0.39,0.39,4.76,2.57,1.69,,,,
Total,,,,,,,,,,20.33,23.15,23.42,22.04,16.77,19.93,25.33,24.1,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is the sewage works. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,
Readings from Town Hall Park from 1937.,,,,,,,,,,,,,,,,,,,,,
