BRECHFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN523298,Long,-4.1504068,Lat,51.947032,Elevation,290,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4104/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.22,1.91,8.79,9.65,10.8,10.35,5.19,3.92,9.05,11.29,7.77,4.63,10.55,6,12.99,3.29,2.31,7.85,7.83,2.75,4.09,5.33,7.3,9.46,6.13,9.8,9.83
February,,,,0.6,8.32,3.08,9.96,3.2,7.6,5.86,6.41,0.69,4.32,2.08,7.78,4.66,4.03,4.3,2.71,11.02,5.04,1.68,4.09,6.9,3,1,6.33,7.68,1.07,8.79
March,,,,5.14,1.35,3.84,3.58,1.15,3.86,5.83,3.97,5.74,1.87,0.76,4.46,3.64,12,3.37,3.14,5.5,7,5.43,4.21,6.41,4.43,2.23,7.7,2.05,7.07,2.32
April,,,,4.21,7.44,3.9,4.2,0.23,3.95,2.99,2.58,3.36,2.76,4.16,4.35,2.09,6.82,2.58,5.77,5.6,4.71,5.12,4.78,1.5,4.66,1.25,0.62,1.66,5.58,5
May,,,,3.31,3.17,2,1.9,6.28,0.86,1.82,3.91,9.26,6.26,3.08,5.14,3.03,3.85,3.89,4.62,2.57,3.18,6.47,4.4,6.12,6.44,2.18,3.74,5.08,1.36,2.92
June,,,,2.53,6.47,4.84,2.5,6.86,4.91,1.21,1.1,0.47,5.03,4.25,7,6.82,2.91,6.52,1.69,3.22,2.96,4.6,3.86,5.82,7.45,3.71,3.36,5.55,2.97,3.3
July,,,,0.78,0.87,8.4,3.58,8.36,13.44,4.56,4.49,5.03,5.06,4.99,4.71,2.6,4.51,4.44,1.41,6.79,2.01,2.37,7.57,4.43,1.23,5.12,7.45,8.1,4.76,8.29
August,,,,5.27,3.15,2.91,1.24,5.35,5.76,0.75,6.8,8.27,7.3,2.57,3.51,8.19,0.76,8.68,4.22,12.68,10.75,8.87,5.67,6.93,1.79,7.87,4.75,5.12,0.85,9.19
September,,,,7.58,10.57,5.6,3.93,4.64,0.82,2.71,0.43,5.77,7.36,7.12,6.42,10.73,3.82,8.36,1.67,12.66,8.89,3.77,6.74,7.65,4.68,7.8,11.88,12.79,0.52,7.99
October,,,,8.15,7.83,3.48,5.75,12.01,3.5,9.07,5.5,6.07,9.13,10.77,4.4,2.59,2.19,5.28,11.92,4.27,1.52,6.24,6.38,13.91,4.21,3.57,6.25,5.96,8.77,8.91
November,,,,3.14,10.64,6.8,3.14,11.98,13.08,14.65,6.18,1.02,5.55,10.79,0.98,13.29,6.82,5.64,7.35,9.71,10.57,4.92,7.78,13.5,4.84,2.31,4.42,4.26,12.36,13.09
December,,,,18.25,4.1,10.06,5.88,6.69,5.81,6.43,6.04,12.03,3.57,6.09,9.01,7.4,5.43,12.64,6.13,5.89,7.9,5.52,2.44,6.91,8.03,6.44,5.07,4.93,11.9,7.08
Total,,,,67.18,65.82,63.7,55.31,77.55,73.94,61.07,51.33,66.76,69.5,64.43,62.39,75.59,59.14,78.69,53.92,82.22,72.38,62.82,60.67,84.17,56.09,50.78,71.03,69.31,67.01,86.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is near Brechfa. Altitudes nearly match, NGR might be 100m NNW.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 reading noted as being corrected for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr and May 1952 and Feb and Oct 1954 are noted as being corrected for arithmetic and are in brackets. Not sure what this means; left in record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul and Aug 1957 are noted as being corrected for WD; no idea what this means and readings are not in brackets; left in record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
