"STRACHUR PARK",,,,,,,,,,,,
Grid ref,NN093017,Long,-5.073192,Lat,56.169683,,,,,,,
Station no,5426,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.03,7.35,6.27,7.80,4.44,6.00,11.94,9.34,3.67,5.24,,
February,5.56,3.24,3.51,6.82,5.62,2.74,5.42,4.30,3.61,6.71,,
March,5.15,5.77,2.39,5.12,2.15,4.46,7.82,1.79,6.07,3.28,,
April,4.03,3.23,4.37,3.72,5.27,3.11,2.96,3.45,5.78,7.77,,
May,1.95,1.95,3.30,4.67,4.34,5.13,2.19,4.43,2.57,4.07,,
June,1.92,4.68,1.01,5.29,5.39,4.47,4.11,3.16,4.46,3.73,,
July,5.56,3.62,6.48,5.19,1.28,6.65,7.36,4.12,7.46,6.39,,
August,5.75,7.03,6.55,5.96,2.28,5.85,7.27,6.59,3.47,4.58,,
September,5.51,5.32,10.06,10.27,8.34,7.35,4.62,6.44,2.34,3.86,,
October,3.06,9.21,6.99,12.88,9.73,5.54,9.45,8.45,9.22,4.79,,
November,12.57,3.40,15.84,13.28,4.60,4.83,3.41,2.76,8.47,9.45,,
December,13.28,8.65,8.22,13.64,12.96,13.27,10.90,8.49,14.07,10.03,,
Total,71.37,63.45,74.99,94.64,66.40,69.40,77.45,63.32,71.19,69.90,,
Calc annual,71.37,63.45,74.99,94.64,66.40,69.40,77.45,63.32,71.19,69.90,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
