BATH-HAMILTON-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST743665,Long,-2.3701,Lat,51.39695,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1986/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.53,3.45,5.67,2.25,,,,2.21,2.06,2.21,2.61,6.9,1.27,0.66,3.04,2.68,0.82,2.69,3.66,4.66,,,,
February,,,,,,,5.3,1.03,1.73,3.09,,,,0.89,3.39,3.59,1.7,1.57,1.64,6.22,4.73,1.58,2.13,3.56,1.87,0.22,,,,
March,,,,,,,4.3,0.23,0.87,2.87,,,,0.49,1.17,0.84,5.84,1.6,1.5,1.22,3.52,2.96,0.82,4.25,1.41,1.11,,,,
April,,,,,,,2.91,0.12,3.42,2.28,,,,1.93,1.08,2.27,2.82,2.15,1.97,2.25,3.97,1.75,2.69,0.47,1.19,1.39,,,,
May,,,,,,,2.45,1.86,1.06,2.11,,,,1.26,2.56,3.66,3.47,4.28,3.37,2.29,2.54,4.86,2.07,2.34,4.75,0.55,,,,
June,,,,,,,1.27,0.89,2.47,0.71,,,,2.34,3.69,3.92,1.97,2.57,0.33,2.15,1.42,2.61,1.52,4.92,3.6,2.22,,,,
July,,,,,,,3.18,3.32,4.22,4.06,,,,2.71,1.58,1.44,4.11,1.02,1.4,5.47,1.15,1.58,3.39,3.23,0.89,4.07,,,,
August,,,,,,,1.06,3.39,3.45,0.14,,,3.4,2.41,3.61,5.64,0.9,3.63,1.78,4.98,5.63,4.59,3.85,2.97,1.85,4.56,,,,
September,,,,,,,2.33,3.37,1.43,1.92,,,3.71,2.51,2.77,3.96,1.63,2.42,1.39,4.48,3.31,3.86,4.23,4.27,1.76,3.29,,,,
October,,,,,,,3.47,4.96,3.23,3.27,,,3.78,5.33,3.97,1.22,0.44,3.55,6.74,1.7,0.99,4.49,2.56,3.14,1.47,2.18,,,,
November,,,,,,,1.75,4.16,5.81,8.67,,,2.39,6.39,0.51,4.9,2.64,1.7,3.57,6.25,8.59,4.73,1.72,7.55,3.35,0.8,,,,
December,,,,,,,2.12,3.89,2.15,1.5,,,1.95,2.71,4.67,2.92,3.16,4.51,1.7,2.17,2.72,2.73,0.96,2.69,3.93,3.7,,,,
Total,,,,,,,34.67,30.67,35.51,32.87,,,,31.18,31.06,36.57,31.29,35.9,26.66,39.84,41.61,38.42,26.76,42.08,29.73,28.75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penmore Hamilton Road between Hilcote and Lansdown Close Cottage according to 1939 census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
