BULWELL-WATNALL-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK498457,Long,-1.259296,Lat,53.006306,Elevation,472,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.45,1.02,1.3,1.2,2.31,1.14,4.74,4.14,1.57,2.62,1.2,2.57,2.21,3.92,3.36,2.48,3.75,1.39,2.16,2.28,3.23,1.94,5.38,1.53,4.42,1.99,1.71,2.1,2.71,1.04,3.61,3.58,3,4.77,2.24,2.04,2.41,4.09,2.98,1.4,2.24,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.8,1.89,1.84,0.86,2.67,1.86,1.71,1.03,1.56,3.29,6.95,0.86,2.51,2.68,2.48,0.33,3.14,4.5,1.03,2.83,2.57,1.79,2.22,0.73,0.76,2.95,0.51,2.59,0.72,2.48,1.92,4.06,0.58,1.35,2.38,1.57,0.8,0.64,2.09,2.32,2.52,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.69,1.4,2.83,3.89,0.63,1.47,3.22,4.01,2.54,0.75,5.08,2.25,1.36,5.24,1.98,1.14,2.07,1.28,1.25,0.75,0.85,2.57,2.62,0.18,3.02,0.26,1.9,2.93,2.58,0.94,1.58,2.08,0.14,1.72,1.9,1.92,1.73,0.77,0.34,0.68,0.57,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.51,2.9,2.18,1.41,2.01,1.17,0.3,3,1.16,0.87,1.53,1.4,2.02,1.62,4.49,1,3.18,2.05,2.33,2.18,1.54,1.83,0.53,1.55,3.42,3.72,2.74,1.35,2.29,3.33,1.7,2.54,0.1,1.61,1.74,0.95,1.28,0.67,2.32,1.55,1.1,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.95,3.39,2.31,1.34,2.36,1.01,3.06,2.1,2.35,1.8,2.79,2.12,2.82,1.61,2.19,1.83,1.01,2.82,3.36,4.56,2.33,1.14,1.64,1.97,2.15,3.14,6.51,2.05,0.99,0.3,0.34,2.75,2.34,1.23,1.22,1.2,3.63,3.11,1.01,2.26,1.39,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.83,3.09,1.84,2.45,2.12,4.03,4.15,0.95,2.51,1.96,2.73,2.35,0.62,0.98,2.65,0.42,0.91,0.61,2.17,0.05,2.25,4.37,2.59,1.38,2,4.22,0.99,2.02,0.6,2.87,3.56,0.78,1.39,1.67,0.98,0.35,0.78,1.72,1.64,2.82,2.67,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.77,2.47,3.95,3.77,2.67,0.12,5.22,1.18,3.23,6.02,2.8,1.6,3.28,2.39,4.32,0.58,4.13,4.1,2.71,1.56,1.84,2.65,1.33,1.35,5.76,4.37,4.32,3.12,1.56,0.82,5.38,3.21,4.04,5.69,2.13,3.12,2.57,0.79,2.85,2.42,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.09,2.84,4.23,3.09,4.18,2.3,6.35,1.61,1.84,2.97,2.41,3.97,1.92,2.28,1.08,4.33,5.81,3.18,3.17,2.81,1.95,3.25,2.48,2.68,3.06,4.71,1.62,0.79,2.11,2.02,1.01,0.47,3.26,2.51,0.21,3.78,2.76,2.06,3.28,2.18,5.65,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,0.94,0.7,1.65,2.8,0.62,1.54,1.18,2.13,1.24,1.08,1.5,1.83,5.18,2,1.83,1.08,2.35,2.48,3.19,3.83,1.07,4.24,0.52,0.54,5.16,3.56,2.08,1.28,1.94,5.39,2.85,1.49,1.99,1.45,0.45,0.36,1.29,2.18,4.16,1.52,2.74,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,6.06,4.69,1.26,3.9,2.3,2.11,3.52,4.69,2.69,1.94,2.76,4.35,1.83,3.01,1.59,3.34,0.81,2.1,4.35,3.81,2.12,2.52,4.39,3.78,2.87,0.81,3.18,4.14,1.46,4.03,1.65,2.78,2.7,2.73,3.02,2.7,2.12,1.64,2.64,3.45,1.14,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,2.82,2.39,1.27,0.51,4.46,2.31,2.19,2.35,3.69,2.79,3.51,1.35,1.83,2,0.86,1.8,0.96,1.97,2.01,1.97,3.7,2.95,3.45,6.25,3.52,3.21,2.28,2.04,2.27,4.49,2.86,1.72,2.74,3.71,3.9,3.59,1.51,2.04,4.88,0.41,4.43,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,2.33,3.01,1.87,4.94,5.24,4.69,3.37,1.12,6.25,5.92,2.61,1.21,3.67,4.35,3.41,2.11,3.35,3.34,3.22,2.46,1.1,2.45,2.31,5.29,2.39,1.29,1,0.48,5.18,3.45,1.72,2.69,4.07,1.83,1.1,1.01,1.97,0.97,1.36,1.87,2.61,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,26.24,29.79,26.53,30.16,31.57,23.75,39.01,28.31,30.63,32.01,35.87,25.86,29.25,32.08,30.24,20.44,31.47,29.82,30.95,29.09,24.55,31.7,29.46,27.23,38.53,34.23,28.84,24.89,24.41,31.16,28.18,28.15,26.35,30.27,21.27,22.59,22.85,20.68,29.55,22.88,,21.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
