"DALBEATTIE, RICHORN WOOD",,,,,,,,,,,,,,,,,,,,,
Grid ref,NX835592,Long,-3.8188958,Lat,54.91387,Elevation,54,ft,,,,,,,,,,,,,
Station no,RR7257,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,5.7,3.93,5.54,7.57,4.23,2.61,5.49,4.42,6.66,,,,
February,,,,,,,,,5.46,0.96,3.47,0.5,4.29,6.8,0.32,5.73,5.95,,,,
March,,,,,,,,,2.15,4.89,4.91,6.11,3.06,2.26,1.01,0.78,1.43,,,,
April,,,,,,,,,0.85,2.71,3.09,1.81,2.4,3.78,3.26,4.76,2.48,,,,
May,,,,,,,,,2.22,1.18,5.45,2.79,2.93,1.61,4.3,6.35,2.21,,,,
June,,,,,,,,,1.64,1.91,2.19,0.37,1.53,1.28,1.58,0.17,3.77,,,,
July,,,,,,,,,4.04,0.97,4.11,4.72,4.33,3.5,4.05,2.49,3.76,,,,
August,,,,,,,,,4.44,3.5,3.41,7.72,3.56,9.47,5.28,4.49,3.97,,,,
September,,,,,,,,,6.5,3.31,3.26,2.21,3.1,4.01,5.47,2.6,3.33,,,,
October,,,,,,,,,6.37,1.67,2.4,2.17,2.45,6.99,4.14,5.01,3.38,,,,
November,,,,,,,,,3.73,2.69,3.05,2.44,1.92,4.92,2.8,2.68,7.88,,,,
December,,,,,,,,,6.35,5.83,5.65,4.39,5.18,5.64,7.71,3.82,0.96,,,,
Total,,,,,,,,,49.45,33.55,46.53,42.8,38.98,52.87,45.41,43.3,45.78,,,,
,,,,,,,,,,,,,,,,,,,,,
1920 Feb,,,,,,,,,,,,,,,,,,,,,
