WOLVERHAMPTON-MERRIDALE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO903985,Long,-2.1445949,Lat,52.584219,Elevation,426,ft.,,,,,,,,,,,,
Station no,RR6237,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,1.79,2.45,2.07,1.67,4.5,2.66,2.48,2.98,1.78,,,
February,,,,,,,,,1.91,1.62,1.97,1.63,2.7,0.97,2.8,1.31,3,,,
March,,,,,,,,,1.52,1.88,1.86,0.76,1.85,2.51,0.76,0.77,2.33,,,
April,,,,,,,,,1.76,1.54,1.02,2.72,3.54,0.86,1.42,0.82,3.53,,,
May,,,,,,,,,1.96,5.11,1.02,1.85,2.27,2.89,1.96,1.67,0.73,,,
June,,,,,,,,,0.3,1.18,0.79,3.8,5.76,3.25,0.51,3.46,2.9,,,
July,,,,,,,,,0.31,0.43,1.39,3.88,5.93,3.08,1.78,8.14,2.32,,,
August,,,,,,,,,4.33,1.37,2.21,1.01,4.09,2.67,3.55,2.75,2.5,,,
September,,,,,,,,,2,6.22,0.58,5.96,2.1,2.14,3.31,4.55,4.82,,,
October,,,,,,,,,1.85,1.53,4.17,2.65,5.61,2.56,1.99,6.93,1.87,,,
November,,,,,,,,,1.18,1.8,1.92,0.66,3.63,2.1,3.73,3.51,4.06,,,
December,,,,,,,,,4.51,3.65,2.35,1.63,3.49,0.66,3.3,1.44,4.55,,,
Total,,,,,,,,,23.42,28.78,21.35,28.22,45.47,26.35,27.59,38.33,34.39,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Merridale Road at the stated altitude.,,,,,,,,,,,,,,,,,,,,
Could possibly be 600m WSW where the altitude also matches.,,,,,,,,,,,,,,,,,,,,
Approximately 900m from WOLVERHAMPTON TOWN HALL and also WOLVERHAMPTON,,,,,,,,,,,,,,,,,,,,
