"EAST HAM (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ425831,Long,0.052879,Lat,51.528836,,,,,,,
Station no,1249,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,1.29,0.90,0.77,2.33,3.24,1.20,1.70,,,,
February,5.74,0.75,1.61,2.12,1.70,0.29,2.61,1.96,,,,
March,2.26,2.34,0.44,2.04,0.85,0.96,1.01,0.94,,,,
April,2.83,0.69,2.41,0.30,0.23,1.04,0.15,1.76,,,,
May,2.01,0.77,1.01,1.82,4.21,0.65,0.98,1.89,,,,
June,1.06,1.07,1.05,2.50,2.13,3.10,0.60,,,,,
July,0.79,0.64,2.88,2.62,1.48,3.06,3.80,,,,,
August,2.93,2.21,1.62,3.74,1.06,3.44,2.14,,,,,
September,2.72,2.33,2.05,1.81,2.63,2.01,1.95,,,,,
October,0.83,2.22,3.83,1.75,3.40,1.26,1.77,,,,,
November,3.95,3.68,0.84,3.18,0.40,0.47,2.29,,,,,
December,1.58,2.31,0.68,1.24,1.50,2.35,1.57,,,,,
Total,28.88,20.30,19.32,23.89,21.92,21.87,20.07,,,,,
Calc annual,28.88,20.30,19.32,23.89,21.92,21.87,20.07,8.25,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
