LOGIEALMOND LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 95924 31525,Long,-3.690698,Lat,56.464332,Elevation,1020,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,4.12,5.53,5.91,4.29,3.89,3.71,6.17,9.2,6.53,11.07,2.44,6.49,3.5,6.13,5.09,6.59,,,,,,
February,,,,,,,,,,3.37,5.86,0.71,4.38,5.82,1.22,6.91,7.72,2.53,4.14,2.64,1.56,2.54,0.24,3.89,0.33,,,,,,
March,,,,,,,,,,3.87,5.22,6.03,3.36,4.71,1.32,1.76,3.2,3.92,7.76,1.12,2.89,1.82,3.01,2.6,3.92,,,,,,
April,,,,,,,,,,0.6,2.61,0.8,3.75,4.09,3.4,5.2,3.2,1.69,1.65,1.55,2.07,3.62,4.58,1.98,5.52,,,,,,
May,,,,,,,,,,1.65,5.02,3.6,3.19,2.27,7.67,7.41,4.14,2.73,2.05,4,3.23,5.25,4.03,2.23,2.31,,,,,,
June,,,,,,,,,,3.39,1.48,0.61,1.31,1.85,2.75,0.53,4.42,4.67,5.1,2.49,2.8,7.3,1.54,1.9,2.31,,,,,,
July,,,,,,,,,,0.03,4.67,4.82,4.59,3.37,8.04,2.72,3.03,7.03,2.77,4.66,3.28,5.37,4.3,4.27,3.28,,,,,,
August,,,,,,,,,,3.39,5.38,8.07,2.42,7.94,6,5.88,3.15,7.37,7.4,5.19,7.04,2.95,1.98,1.53,6.06,,,,,,
September,,,,,,,,,,2.67,2.03,2.48,2.97,4.36,6.55,3.71,3.74,5.16,4.62,0.99,5.94,2.04,2.54,1.97,6.3,,,,,,
October,,,,,,,,,,1.32,3.35,5.41,2.54,6.34,4.24,5.1,6.59,8.1,7.29,6.75,5.98,3.06,7.6,4.77,6.35,,,,,,
November,,,,,,,,,,4.93,5.76,3.68,3.28,1.67,3.39,1.19,10.11,4.86,6.13,6.02,5.34,10.43,3.9,3.22,0.95,,,,,,
December,,,,,,,,,,6.83,6.05,4.58,5.9,3.38,8.61,5.1,0.97,2.23,3.91,9.3,6.44,3.12,9.05,1.79,9.49,,,,,,
Total,,,,,,,,,,36.17,52.96,46.7,41.98,49.69,56.9,51.68,59.47,56.82,63.89,47.15,53.06,51,48.9,35.24,53.41,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
