ROTHERBY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK677167,Long,-0.9985976,Lat,52.743695,Elevation,250,ft,,,,,,,,,,,,
Station no,RR6636,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.6,2.65,2.43,0.77,1.39,2.01,1.62,1.22,2.31,1.62,3.71,1.15,1.62,0.97,
February,,,,,,2.36,0.29,0.61,1.33,1.75,0.78,0.12,2.33,2.27,1.79,0.31,0.66,2.79,1.11,
March,,,,,,0.62,2.57,1.4,2.1,3.85,1.85,1.54,1.11,0.17,0.65,1.73,1.91,1.99,0.93,
April,,,,,1.38,1.72,1.64,1.04,2.97,3.33,0.64,1.66,0.74,0.3,1.07,1.53,0.84,1.77,2.26,
May,,,,,0.99,2.38,4.31,1.41,0.7,3.65,1.61,2.7,1.86,1.55,1.78,0.84,0.55,1.02,2.66,
June,,,,,0.87,2.46,1.36,0.9,1.59,0.59,1.73,2.53,3.01,1.05,1.87,0.77,2.6,2.05,0.91,
July,,,,,4.07,0.06,2.68,0.77,4.15,2.24,1.88,2.34,2.35,1.96,2.34,2.75,2.35,0.42,0.98,
August,,,,,2.35,4.34,2.36,0.76,2.07,2.79,2.25,3.83,1.17,3.1,2.33,1.38,2.52,3.34,2.96,
September,,,,,0.94,3.78,1.46,2.36,1.04,2.54,1.27,1.2,1.71,1.72,0.56,0.45,3.45,2.35,0.42,
October,,,,,1.34,5.8,4.46,1.61,0.51,2.82,1.41,4.74,3.42,2.03,2.35,2.93,3.28,1.36,,
November,,,,,1.21,2.88,1.58,1.39,2.81,0.72,3.1,2.55,0.93,1.96,2.05,3.51,1.18,1.32,,
December,,,,,1.85,0.55,3.62,1.08,1.52,1.87,0.84,2.94,1.42,1.54,1.76,1.85,2.96,2.65,,
Total,,,,,,28.55,28.98,15.76,21.56,27.54,19.37,27.77,21.27,19.96,20.17,21.76,23.45,22.68,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1898 Total estimated value,,,,,,,,,,,,,,,,,,,,
Small move South in 1891,,,,,,,,,,,,,,,,,,,,
