"STROUD STANLEY PARK",,,,,,,,,,,,
Grid ref,SO830039,Long,-2.247566,Lat,51.733550,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.84,1.25,1.32,3.56,4.22,0.72,5.03,1.34,1.38,1.48,,
February,7.04,1.58,1.15,1.89,5.30,0.72,2.00,1.57,0.99,0.58,,
March,1.15,2.73,1.55,4.30,1.37,4.47,1.45,0.64,3.35,4.08,,
April,1.01,3.18,1.93,2.55,1.36,2.75,0.92,3.43,2.70,2.54,,
May,2.49,1.20,2.26,3.93,2.12,0.45,2.13,1.96,1.54,1.21,,
June,1.75,2.38,3.96,4.31,1.25,4.05,2.77,2.98,0.66,2.79,,
July,2.00,2.43,1.39,3.96,3.89,0.95,1.13,4.21,1.76,2.42,,
August,3.40,1.79,2.71,4.19,2.65,4.57,1.05,2.41,4.26,2.81,,
September,0.48,1.97,2.65,2.86,2.66,1.24,0.68,0.65,2.45,3.26,,
October,3.76,1.19,2.24,7.97,0.48,1.84,5.60,6.17,1.76,5.29,,
November,2.57,1.08,2.62,1.63,1.68,3.97,3.43,2.27,1.05,1.34,,
December,6.81,5.49,2.46,2.01,2.19,0.74,1.50,5.27,2.73,4.47,,
Total,36.30,26.27,26.24,43.16,29.17,26.47,27.69,32.90,24.63,32.27,,
Calc annual,36.30,26.27,26.24,43.16,29.17,26.47,27.69,32.90,24.63,32.27,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
