STROUD STANLEY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO830039,Long,-2.247566,Lat,51.73355,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.81,3.91,3.1,1.22,2.45,2.61,3.22,0.52,2.15,0.31,4.42,3.84,1.25,1.32,3.56,4.22,0.72,5.03,1.34,1.38,1.48,2.63,1.27,5.02,5.7,0.79,3.76,2.43,0.94,3.32,4.89,4.65,3.26,4.35,1.85,4.53,4.38,7.48,3.77,7.47,0.85,5.83,1.67,3.83,3.57,2.89,0.48,4.4,5.28,4.2,6.4,1.86,3.48,3.06,6.22,2.55,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.49,0.57,0.05,1.24,3.43,2.52,0.16,0.37,3.3,1.25,3.52,7.04,1.58,1.15,1.89,5.3,0.72,2,1.57,0.99,0.58,4.53,1.84,2.9,1.53,3.83,5.54,5.35,1.34,1.78,3.37,1.17,0.34,3.84,7.68,0.6,3.98,3.98,3.82,2.85,1.63,0.51,2.59,0.29,4.59,0.4,3.17,2.88,5.48,1.09,1.54,3.95,3.54,0.67,1.87,0.87,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.42,0.99,3.21,0.9,0.22,2.22,2.52,2.71,4,0.47,1.07,1.15,2.73,1.55,4.3,1.37,4.47,1.45,0.64,3.35,4.08,0.72,2.34,5.21,4.55,4.32,1.34,3.85,3.29,1.75,5.27,3.78,2.2,3.5,2.84,1.6,0.99,0.99,3.81,4.13,0.17,2.74,0.36,2.45,2.94,2.5,0.67,2.67,4.52,0.31,2.05,2.99,2.66,2.38,1.41,0.51,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4.59,1.1,1.5,0.87,0.03,3.12,3.37,0.96,1.94,2.41,1.79,1.01,3.18,1.93,2.55,1.36,2.75,0.92,3.43,2.7,2.54,2.4,1.03,0.14,4.06,1.46,1,1.05,1.79,2.4,2.96,5.76,0.9,4.71,3.58,3.43,2.45,3.87,1.99,2.29,0.88,2.35,3.29,3.58,1.36,2.35,6.58,2.22,4.13,0.09,3.24,3.45,2.23,2.4,0.75,1.1,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.83,2.32,4.5,1.9,2.25,1.92,0.47,0.23,1.36,3.37,1.88,2.49,1.2,2.26,3.93,2.12,0.45,2.13,1.96,1.54,1.21,1.43,1.06,2.36,2.72,1.67,2.6,3.07,2.79,2.25,0.66,2.34,1.91,0.92,1.72,6.98,4.01,3.5,1.14,1.06,2.83,2.2,3.78,5.11,2.07,1.32,1.2,1.34,2.01,2.45,0.92,2.38,2.58,3.85,4.3,0.7,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.49,2.59,1.71,2.31,1.8,1.67,0.64,2.52,2.59,0.87,1.75,1.75,2.38,3.96,4.31,1.25,4.05,2.77,2.98,0.66,2.79,4.72,3.38,5.74,0.54,2.55,1.21,1.98,3.2,1.26,1.66,3.19,0.04,0.65,0.37,5.71,0.13,1.95,3.34,2.77,1.69,0.91,3.92,1.96,1.67,0.93,3.71,2.28,1.11,1.46,1.22,0.74,1.32,0.24,2.78,3.01,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.12,2.79,3.33,3.09,3.45,2.44,2.82,0.74,3.41,0.73,0.87,2,2.43,1.39,3.96,3.89,0.95,1.13,4.21,1.76,2.42,2.3,0.06,5.76,0.68,3.45,3.69,2.23,2.32,3.92,3.34,5.13,0.46,4.84,1.41,6.84,4.5,3.61,4.39,1.86,1.22,3.47,4.47,2.75,1.62,3.11,0.38,6.22,2.83,2.69,5.72,5.25,2.26,2.12,1.69,2.23,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.96,3.4,6.9,3.26,1.64,2.87,3.8,1.99,5.82,3,0.85,3.4,1.79,2.71,4.19,2.65,4.57,1.05,2.41,4.26,2.81,4.96,1.64,8.15,1.37,1.77,4.14,4.61,7.43,1.62,2.87,1.46,2.73,5.69,2.81,4.31,3.5,2.81,5.36,3.05,2.75,3.23,6.71,1.95,0.59,2.45,2.03,0.69,0.45,3.33,4.41,0.14,5.18,5.45,2.35,2.4,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.71,1.1,1.56,2.87,0.85,2.65,0.96,6.6,2.83,0.84,1.2,0.48,1.97,2.65,2.86,2.66,1.24,0.68,0.65,2.45,3.26,0.62,1.55,1.08,2.82,1.55,1.75,1.11,3.26,7.02,1.85,2.41,2.08,2.41,3.66,5.78,4.66,1.52,5.19,1.03,0.61,4.12,2.1,3.91,2.72,2.29,5.72,3.27,3.29,2.72,0.8,0.8,1,2.8,1.74,2.76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.48,1.54,8.15,2.75,2.54,4.41,3.08,4.05,1.4,4.64,2.4,3.76,1.19,2.24,7.97,0.48,1.84,5.6,6.17,1.76,5.29,4.09,2.74,4.2,4.18,1.94,4.58,6.02,3.88,1.9,2.39,2.99,1.61,2.01,7.68,6.78,3.53,3.56,3.5,6.11,4.98,2.78,0.72,5.62,3.18,2.58,4.6,1.63,3.13,3.68,3.45,4.36,2.34,2.84,2.64,4.33,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
