"NEWPORT ASTON HALL",,,,,,,,,,,,
Grid ref,SJ742179,Long,-2.383737,Lat,52.758086,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.40,1.74,1.55,1.85,2.08,0.84,3.63,1.74,1.30,1.41,,
February,3.53,1.24,1.09,1.52,3.45,0.71,1.72,1.33,1.54,0.59,,
March,0.86,2.06,1.46,4.00,1.46,3.21,1.47,1.12,3.11,2.59,,
April,0.73,1.89,2.12,1.58,1.31,1.90,1.81,1.69,2.61,1.83,,
May,1.77,0.74,3.03,3.24,2.19,0.98,2.65,3.61,2.64,1.20,,
June,2.74,2.15,1.88,1.35,0.72,2.08,2.39,3.10,3.95,2.72,,
July,1.49,4.54,1.64,2.23,1.95,1.57,0.85,3.57,3.15,4.08,,
August,4.51,2.67,4.82,4.53,3.25,4.60,2.99,2.40,3.33,2.81,,
September,0.60,1.08,1.18,4.33,1.84,1.06,1.30,1.00,2.83,2.51,,
October,4.00,2.63,3.10,5.44,0.71,1.47,4.44,4.68,1.81,3.51,,
November,2.63,1.36,1.93,2.77,1.15,2.72,2.49,2.53,1.93,0.76,,
December,3.42,2.29,1.74,1.67,1.62,0.60,2.74,2.39,2.61,4.12,,
Total,28.68,24.39,25.54,34.51,21.73,21.74,28.48,29.16,30.81,28.13,,
Calc annual,28.68,24.39,25.54,34.51,21.73,21.74,28.48,29.16,30.81,28.13,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
