LANGSETT MOOR UPPER MIDHOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK215999,Long,-1.677389,Lat,53.495368,Elevation,912,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,7.3,1.76,3.79,2.28,7.21,6.89,3.45,3.11,4.32,5.14,2.27,6.04,2.25,4.11,3.38,4.55,1.65,4.77,5.12,3.05,6.82,3.84,3.22,3.47,5.28,7.62,5.91,5.14,3.65,2.68,4.73,5.35,2.93,9.47,1.76,6.78,4.31,5.11,3.47,3.98,2.71,4.73,6.53,6.14,6,3.83,4.19,3.3,6,6.74,4.06,5.61,4.57,10.79,1.7,2.51,4.19,5.5,1.23,3.69,3,6.23,3.16,4.82,4.2,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.89,1.81,4.71,4.77,2.51,6.37,1.6,1.58,4.97,6.27,3.06,4.27,3.57,3.77,3.09,5.62,4.17,2.31,1.7,3.78,6.22,7.22,0.52,5.59,2.14,5,0.38,4.14,7.57,1.02,5.63,2.91,1.59,4.7,0.48,1.12,4.41,0.43,6.76,0.15,6.25,4.24,6.38,1.65,3.49,2.95,4.75,1.22,3.25,2.01,5.09,5.76,3.37,3.54,2.34,7.49,4.83,1.43,2.62,3.67,3,1.38,3.47,5.82,0.19,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,3.73,6.29,5.65,2.42,2.39,1.55,5.03,2.08,6.56,2.92,5.14,4.2,3.9,4.32,5.23,0.95,1.38,4.83,5.76,4.42,1.24,6.52,2.87,1.71,5.79,4.1,3.6,2.82,2.92,1.49,1.22,1.44,4.09,3.62,0.33,3.21,0.12,2.81,2.75,4.25,1.63,3.53,3.78,0.67,3.4,3.08,5.87,2.41,1.4,0.58,1.31,1.78,7.34,1.9,1.13,2.09,5.46,2.24,2.69,2.84,3.36,2.17,2.76,2.9,2.03,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.57,2.27,3.85,3.22,3.22,2.57,2.45,3.34,2.3,3.68,3.05,1.18,2.82,2.66,2.56,3.45,1.36,1.04,4.31,1.71,1.82,2.51,2.71,1.51,1.77,6.82,1.32,4.11,3.02,2.29,3.73,2.14,4.27,1.69,1.56,3.48,5.03,4.6,1.41,3.06,3.19,1.89,2.59,0.25,2.35,3.78,2.84,2.49,2.91,2.91,2.79,2.14,4.56,2.67,3.98,4.52,2.04,2.55,3.6,0.64,1.44,3.03,0.3,1,6.02,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.79,0.58,1.11,3.54,3.13,1.56,1.55,3.1,4.27,3.17,0.51,3.12,5.48,3.48,2.04,4.09,0.7,3.57,2.82,1.98,1.85,2.41,2.34,2.82,1.71,4.85,1.97,1.21,4.24,4.8,4.35,3.09,1.5,1.96,2.46,2.39,3.14,6.38,2.1,2.09,0.51,1.63,3.21,3.27,2.28,0.9,2.91,4.34,3.55,3.3,4.19,2.84,3.25,2.01,2.68,2.6,4.02,2.59,2.49,4.48,4.5,0.99,1.46,3.97,1.02,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.48,2.96,5.1,2.52,2.04,3.63,1.31,1.77,1.84,0.89,2.58,1.63,6.27,2.71,4.72,3.82,3.32,3.78,1.43,3.68,1.43,2.78,2.02,1.59,0.76,3.31,0.38,1.65,0.81,1.69,0.14,3.14,4.45,3.94,1.03,3.15,4.68,0.79,2.26,1.34,3.16,4.3,1.28,3.05,2.73,0.78,0.96,1.19,2.25,2.04,3.28,4.42,3.06,5.14,0.58,1.13,0.98,1.94,3.52,2.13,3.24,3.61,0.97,5.1,2.15,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.18,1.21,1.45,0.9,1.95,3.36,4.45,2.67,3.29,1.81,1.47,3.3,2.34,3.4,4.7,3.29,0.33,6.76,1.51,2.84,5.02,1.77,1.81,3.37,3.62,5.79,1.31,3.88,3.26,3.84,1.92,3.53,3.17,1.14,3.19,7.74,3.88,4.06,2.46,1.9,1.31,3.91,2.51,4.5,6,3.64,2.44,3.98,1.81,2.81,1.76,3.38,2.06,1.24,4.19,2.12,3.01,2.33,3.52,2.74,0.91,7.56,3.26,5.05,2.66,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.35,2.04,3.68,4.79,1.43,6.44,1.51,3.77,5.1,4.66,4.24,2.72,3.23,3.64,2.16,4.76,3.55,7.44,1.31,2.05,4.04,1.69,7.32,1.6,3.69,1.79,5.39,6.35,3.66,3.58,3.62,3.81,5.29,3.23,2.69,3.65,6.76,2.23,0.74,2.04,2.09,1.34,0.75,2.43,2.8,1.08,4.17,5.13,4.03,3.65,3.45,4.17,0.45,5.72,2.44,3.48,5.05,2.62,3.69,5.89,0.98,7.57,5.46,3.4,1.06,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.88,8.19,4.11,0.81,6.37,0.86,0.81,2.04,5.62,1.49,2.14,1.16,0.78,2.85,3.07,0.27,2.4,1.95,2.67,2.67,0.65,1.78,1.9,10.02,2.57,1.8,1,3.42,3.54,3.66,3.28,2.18,5.52,0.53,1.25,5.43,5.04,2.34,2.02,2.79,6.16,4.9,1.73,2.67,2.18,2.84,0.34,2.45,4.61,4.71,2.07,6.53,1.87,1.7,1.66,5.35,2.87,4.01,2.37,4.06,1.48,3.83,5.13,4.86,0.1,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.58,4.91,1.63,5.56,4.08,4.46,2.9,4.93,10.43,1.1,3.75,7.68,7.73,1.56,4.51,3.13,3.8,4.09,4.76,3.09,2.26,7.19,6.33,2.84,3.83,2.81,2.34,1.17,3.14,5.53,4.83,4.62,4.52,5.41,4.33,4.64,1.56,6.4,5.32,3.79,8.93,4.2,3.87,8.31,3.96,5.52,4.35,4.25,2.37,4.67,6.83,1.73,1.11,2.18,4.59,1.99,0.86,6.75,2.29,5.61,3.27,2.5,3.58,3.27,3.33,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.32,5.66,1.82,5.18,4.33,2.73,3.43,6.59,3.31,2.85,4.26,6.59,5.7,4.42,2.77,1.63,4.31,5.57,3.13,3.67,6.5,3.58,5.22,3.82,2.18,3.45,2.28,2.34,2.15,6.66,2.98,3.08,5.73,5.77,7.12,7.68,4.72,5.72,3.74,2.52,2.7,8.11,6.8,2.55,5.46,6.87,9.28,4.29,1.63,3.49,7.79,0.56,9.36,5.16,1.7,7.66,6.44,10.26,2.28,3.15,8.2,2.79,1.67,3.08,1.19,6.12,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,3.55,5.47,6.35,5.86,6.3,4.45,7.03,7.56,4.67,2.71,3.3,1.27,3.88,4.93,2.84,7.82,6.11,7.58,6.31,3.59,9.11,9.58,3.83,2.46,6.55,7.07,4.24,5.69,4.73,3.26,4.41,4.99,1.94,2.57,2.63,9.37,3.73,1.62,1.65,0.52,5.75,3.71,4,3.46,4.62,3.83,4.18,2.1,3.42,2.64,4.31,3.55,4.87,4.87,4.86,8.31,2.3,7.3,3.4,1.78,6.15,5.17,4.99,5.13,5.34,8.55,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
