MILL-BROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK188894,Long,-1.71871,Lat,53.401093,Elevation,770,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2693/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.49,5.09,5.61,7.14,6.26,6.75,4.03,10.36,2.79,3.13,5.21,5.99,1.7,4.72,,7.78,3.89,5.54,4.45,8.88
February,,,,,,,,,,,5.5,2.01,3.45,3.91,5.63,8.58,5.5,4.03,2.63,7.4,5.22,2.67,3.52,3.56,3.47,1.78,3.84,7.67,0.35,3.72
March,,,,,,,,,,3.31,6.96,2.7,1.98,1.06,1.45,2.01,7.95,1.74,2.11,2.13,6.13,3,3.22,2.98,4.16,1.93,3.57,,2.05,2.53
April,,,,,,,,,,3.27,3.62,2.26,2.96,3.41,2.7,1.8,4.53,2.71,4.63,4.93,2.55,3.01,3.13,0.66,1.66,2.44,0.67,1.62,3.7,2.85
May,,,,,,,,,,,3.53,4.23,3.4,4.51,3.34,2.21,3.16,1.39,2.85,1.88,3.56,2.84,2.69,4.03,5.51,0.99,1.43,3.64,1.84,2.03
June,,,,,,,,,,0.66,0.81,1.23,3.17,3.18,4.6,6.26,2.8,5.2,0.71,1.71,1.31,2.29,3.22,2.84,3.16,3.88,1.58,4.59,2.27,1.65
July,,,,,,,,,,3.75,4.3,4.62,2.38,4,1.74,4.16,2.41,2.09,2.93,2.58,2.41,2.56,4.87,4.98,1.26,7.88,4.1,6.38,2.93,6.28
August,,,,,,,,,,1.28,5.74,3.73,4.72,3.79,2.73,4.44,0.53,5.14,2.65,3.99,4.61,2.43,4.54,8.03,1.2,8.21,6.97,3.67,0.81,3.99
September,,,,,,,,,,3.25,0.55,3.18,4.93,5.25,2.5,6.32,2.03,2.5,1.85,6.13,3.25,6.12,2.39,5.25,1.83,4.51,6.88,4.79,0.07,4.99
October,,,,,,,,,,4.73,6.08,,2.55,4.79,7.78,1.82,1.05,2.25,4.27,2.22,1.14,8.02,2.01,7.38,3.37,3.01,4.03,3.66,3.99,7.45
November,,,,,,,,,,,3.95,1.72,4.53,8.36,0.55,9.48,6.43,2.36,7.09,7.33,10.88,3.94,3.06,7.55,2.68,2.19,3.07,1.34,5.76,6.85
December,,,,,,,,,,5.1,2.85,4.49,2.15,3.81,3.65,4.94,5.96,4,8.5,3.38,6.51,4.41,1.9,8.73,6.37,5.7,6.03,5.15,7.35,5.82
Total,,,,,,,,,,,48.38,,41.83,53.21,42.93,58.77,46.38,43.77,43.01,46.81,52.78,47.28,36.25,60.71,,50.3,46.06,,35.57,57.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3246 MILL BROOK Start 1940 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is adjacent to Mill Brook. Stated altitude is 80 ft. too low or the gauge is 100m SW to match altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 1947 reading corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
