CROMER-COLNE-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TG218419,Long,1.298521,Lat,52.928666,Elevation,90,ft,,,,,,,,,,,,
Station no,RR6640,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.78,0.7,1.4,1.74,2.02,1.44,0.46,0.19,1.04,1.86,2.05,1.59,2.03,,1,0.78,
February,,,,1.94,1.05,1.15,2.17,2.72,1.05,2.37,1.2,3.13,1.66,2.69,0.65,2.06,,0.49,2.34,
March,,,,2.15,0.91,0.56,2.76,2.04,0.9,0.67,0.97,2.25,1.07,1.89,1.51,1.17,,2.42,3.03,
April,,,,1.12,0.94,0.52,3.21,2.09,1.2,1.83,1.6,0.94,2.11,1.9,1.22,1.36,,1.3,2.48,
May,,,,1.94,1.41,1.5,0.69,1.34,3.19,2.88,0.89,0.78,2.1,1.43,0.9,3.26,,2.02,0.61,
June,,,,1.53,1.13,2.48,1.09,0.98,2.7,3.27,3.29,1.75,2.7,3.87,0.73,1.26,,0.45,1.59,
July,,,,2.35,1.93,5.76,2.22,2.62,1.02,5.89,5.05,1.78,1.94,2.66,1.75,1.04,,1.29,4.81,
August,,,,1.62,1.4,0.63,2.33,2.71,4.27,3.12,1.91,2.73,1.59,1.57,5.78,1.54,,2.03,3.46,
September,,,,2.55,2.2,2.38,4.27,1.32,2.72,2.82,2.61,3.28,2.88,3.59,2.32,4.42,,3.81,2.73,
October,,,,1.84,2.39,3.87,1.27,2.42,2.28,1.38,5.8,3.05,4.24,3.04,2.71,7.64,,4.68,2.14,
November,,,,0.99,3.61,5.63,2.95,1.68,6.49,1.74,2.28,2.14,4.37,4.1,2.41,2.48,,2.27,2.55,
December,,,,0.61,3.1,2.33,3.44,1.56,1.84,0.84,2.39,3.11,4,2.41,2.02,0.98,,1.83,1.21,
Total,,,,20.42,20.77,28.21,28.14,23.5,29.1,27.27,28.18,25.98,30.52,31.2,23.59,29.24,,23.59,27.73,
