FORDOUN (AUCHENBLAE),,,,,,,,,,,,
Grid ref,NO727790,Long,-2.449827,Lat,56.901536,,,,,,,
Station no,5615/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,2.22,1.20,,,,,,,,,
February,3.37,1.36,0.89,,,,,,,,,
March,2.82,4.01,0.35,,,,,,,,,
April,3.45,1.97,4.22,,,,,,,,,
May,1.70,3.57,2.11,,,,,,,,,
June,2.10,3.23,2.36,,,,,,,,,
July,2.93,2.06,3.91,,,,,,,,,
August,2.49,4.29,1.33,,,,,,,,,
September,1.69,0.92,3.05,,,,,,,,,
October,1.07,3.75,1.55,,,,,,,,,
November,9.84,2.68,2.54,,,,,,,,,
December,3.34,3.74,3.94,,,,,,,,,
Total,37.83,33.80,27.45,,,,,,,,,
Calc annual,37.83,33.80,27.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
