MAMORE LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 18579 62956,Long,-4.966507,Lat,56.722903,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,6.38,17.6,21.71,,17.85,8.7,12.35,14.1,16.75,20.4,2.45,14.68,11.24,25.97,12.23,14.7,10.39,6.45,,,,
February,,,,,,,,,,0.83,15.38,8.53,,10.4,6.85,9.05,7.5,4.9,12.9,3.25,1.1,11.44,0.4,7.67,5.6,11.79,4.15,,,,
March,,,,,,,,,,5.12,14.22,15.15,,3.2,1.15,7.05,15.6,5.05,8.7,1.66,5.8,1.05,5.14,6.65,5.73,7.96,4.8,,,,
April,,,,,,,,,,9.72,4.22,3.26,,4.25,5,9.15,4.95,12.85,5.1,4.02,2.95,5.31,7.4,16.1,6.55,4.2,3.15,,,,
May,,,,,,,,,,2.03,8.98,7.44,,8.4,4.6,8.2,4.85,4.05,1.35,5.35,6.51,7.2,5.05,3.47,7.3,1.51,2.6,,,,
June,,,,,,,,,,9.34,3.82,1.95,,5.13,5.87,3.85,5.55,7.55,6.95,5.95,5.98,8.09,1.76,3.19,3.1,5.78,4.1,,,,
July,,,,,,,,,,1.68,6.68,6.46,,9,10.15,4,5.4,3.02,10.3,7.55,3.61,7.8,12.25,6.56,5.51,6.69,9.3,,,,
August,,,,,,,,,,6.67,7.3,6.69,,11.3,7.4,4.99,8.3,6.68,9.75,11.55,11.05,4.66,6.4,9.41,8.95,8.55,7.52,,,,
September,,,,,,,,,,9.99,5.29,7.79,,14.8,12.6,7.96,6.55,8.95,8,6.55,5.4,3.45,12.2,2.65,12.5,15.6,4.97,,,,
October,,,,,,,,,,4.79,4,11.09,,17.6,6.9,8.75,8.85,11.2,15.11,14.8,15.55,8.9,12,10.95,19.15,15.07,13,,,,
November,,,,,,,,,,8.58,11.62,3.54,,9.2,7.35,2.25,11.15,9.95,13.3,13.2,15.52,12.7,12.26,3.95,5.4,10.76,8.31,,,,
December,,,,,,,,,,9.03,8.09,20,,9.15,17.75,10.7,10.6,0.8,8.9,22.23,9.33,18.12,16,1.55,11.6,5.73,17.9,,,,
Total,,,,,,,,,,74.16,107.2,113.61,,120.28,94.32,88.3,103.4,91.75,120.76,98.56,97.48,99.96,116.83,84.38,106.09,104.03,86.25,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
