GOSFORTH ELLERSLIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY075037,Long,-3.427057,Lat,54.420295,Elevation,185,ft,,,,,,,,,,,,
Station no,RR4491,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.1,4.86,2.45,3.92,2.29,4.48,2.31,3.34,,4.58,,,,,
February,,,,,,2.83,3.61,2.11,2.61,3.45,5.98,5.81,2.43,,5.44,,,,,
March,,,,,,3.69,2.17,4.64,4.37,3.43,2.99,1.38,5.58,,4.77,,,,,
April,,,,,,4.69,2.02,4,2.39,3.8,2.91,3.91,1.09,,1.57,,,,,
May,,,,,,3.44,6.36,5.36,3.81,3.1,3.56,4.23,2.56,4.21,3.07,,,,,
June,,,,,,2.82,2,7.73,3.11,3.03,2.19,3.52,6.58,3.4,1.45,,,,,
July,,,,,,2.69,3.4,3.16,5.05,7.63,5.32,1.19,3.82,1.2,7.02,,,,,
August,,,,,,3.95,7.13,5.7,4.73,4.16,6.49,4.1,7.1,2.89,4.19,,,,,
September,,,,,,3.65,1.82,0.91,5.95,3.31,1.2,4.45,,2.6,2.39,,,,,
October,,,,,,4.7,6.37,8.93,2.47,9.88,2.26,4.35,,5.46,1.63,,,,,
November,,,,,,4.69,3.65,5.35,4.14,2.11,5.62,5.37,,4.44,5.91,,,,,
December,,,,,,2.99,3.48,7.2,4.31,8.55,5.53,9.38,,3.5,6.57,,,,,
Total,,,,,,42.24,46.87,57.54,46.86,54.74,48.53,50,,,48.59,,,,,
