"GOSFORTH ELLERSLIE",,,,,,,,,,,,
Grid ref,NY075037,Long,-3.427057,Lat,54.420295,,,,,,,
Station no,RR4491,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.10,4.86,2.45,3.92,2.29,,
February,,,,,,2.83,3.61,2.11,2.61,3.45,,
March,,,,,,3.69,2.17,4.64,4.37,3.43,,
April,,,,,,4.69,2.02,4.00,2.39,3.80,,
May,,,,,,3.44,6.36,5.36,3.81,3.10,,
June,,,,,,2.82,2.00,7.73,3.11,3.03,,
July,,,,,,2.69,3.40,3.16,5.05,7.63,,
August,,,,,,3.95,7.13,5.70,4.73,4.16,,
September,,,,,,3.65,1.82,0.91,5.95,3.31,,
October,,,,,,4.70,6.37,8.93,2.47,9.88,,
November,,,,,,4.69,3.65,5.35,4.14,2.11,,
December,,,,,,2.99,3.48,7.20,4.31,8.55,,
Total,,,,,,42.24,46.87,57.54,46.86,54.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,42.24,46.87,57.54,46.86,54.74,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
