OLD CUMNOCK GLAISNOCK,,,,,,,,,,
Grid ref,NS575178,Long,-4.2536835,Lat,55.433297,Elevation,528,ft,,
Station no,RR8462,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.5,,,3.73,3.43
February,,,,,,5.55,,,1.64,3.09
March,,,,,2.5,2.65,,2.52,2.88,2.62
April,,,,,1.4,2.49,,2.7,1.75,1.95
May,,,,,4.2,2.71,,2.02,2.89,2.55
June,,,,,0.77,1.15,,0.95,1.65,0.47
July,,,,,4.98,1.81,,3.68,4.01,3.04
August,,,,,2.39,2.85,,3.63,3.36,4.69
September,,,,,3.48,5.94,,4.71,2.44,3.26
October,,,,,4.47,4.33,,1.71,2.3,4.54
November,,,,,3.47,2.65,,3.83,7.83,3.77
December,,,,,7.95,3.9,,3.73,3.99,5.11
Total,,,,,,39.53,,,38.47,38.52
,,,,,,,,,,
1889 Aug,,,,,,,,,,
