"WEST GRINSTEAD (KNEPP CASTLE GARDENS)",,,,,,,,,,,,
Grid ref,TQ155218,Long,-0.355928,Lat,50.984029,,,,,,,
Station no,495/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.04,2.65,1.35,1.53,3.41,4.69,2.79,4.00,2.99,3.31,,
February,6.76,0.87,1.28,2.39,1.82,0.33,4.63,2.44,0.16,3.28,,
March,3.52,2.98,0.40,3.53,1.46,0.54,1.39,2.14,2.30,1.52,,
April,2.53,2.41,2.70,0.41,0.29,1.61,0.29,0.84,2.83,0.95,,
May,1.99,2.62,1.98,2.10,3.95,0.40,0.97,2.95,1.53,1.54,,
June,2.47,1.29,1.73,4.80,1.99,2.39,1.12,4.54,0.87,2.15,,
July,2.53,0.96,3.06,3.19,1.71,3.54,4.14,1.94,0.87,3.79,,
August,4.30,2.59,2.15,2.85,1.11,3.76,2.52,4.07,1.52,5.02,,
September,3.21,3.25,4.37,2.86,2.35,3.75,4.00,4.56,0.06,4.38,,
October,1.67,3.91,4.49,2.89,3.99,1.47,1.56,3.68,3.36,7.84,,
November,7.02,4.16,1.44,7.36,1.82,0.90,3.54,2.22,4.22,7.97,,
December,4.08,2.95,1.07,2.59,3.95,4.92,2.35,4.93,8.34,4.18,,
Total,44.12,30.64,26.02,36.50,27.85,28.30,29.30,38.31,28.82,45.93,,
Calc annual,44.12,30.64,26.02,36.50,27.85,28.30,29.30,38.31,29.05,45.93,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.23,0.00,,
