SPARSHOLT-GARSTONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU431319,Long,-1.38604,Lat,51.08483,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,657/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.64,7.19,3.83,5.74,2.78,3.28,3.86,6.47,2.84,1.89,2.89,2.88,6.72,1.01,0.57,3.6,2.54,0.91,2.46,3.43,4.56,,,,
February,,,,,,3.37,5.83,0.77,2.03,3.59,3.43,0.49,1.55,0.56,2.51,2.48,1.59,1.45,1.55,5.13,7.17,0.63,1.98,3.05,1.57,0.29,,,,
March,,,,,,2.46,4.11,0.26,1.17,3.19,4.02,2.4,0.65,0.33,0.92,1.17,6.14,1.14,1.47,1.78,4.2,3.07,0.68,3.72,1.3,1.06,,,,
April,,,,,,2.46,2.3,0.02,2.14,1.33,1.78,2,1.36,1.75,1.07,2.91,2.84,1.89,2.14,2.68,3.12,1.82,3,0.38,0.54,1.38,,,,
May,,,,,,0.75,3.52,2.27,1.11,0.34,1.91,4.08,3.24,0.26,2.61,3.51,1.26,3.5,2.59,1.67,3.71,2.95,2.36,1.83,4.51,0.6,,,,
June,,,,,,2.75,1.64,0.91,2.03,0.36,1.26,0.23,1.17,2.75,3.11,3.52,1.97,2.67,0.54,1.43,1.17,1.55,2,3.58,2.97,1.94,,,,
July,,,,,,3.96,1.05,2.89,5.39,4.07,2.29,1.85,2.54,3.51,1.6,1.08,1.21,1.04,0.81,4.71,2.65,0.46,3.5,2.99,0.93,3.65,,,,
August,,,,,,0.37,1.36,3.04,2.1,0.02,4.46,4.02,1.79,2.16,1.07,5.73,0.81,4.21,1.26,6.88,5.46,3.79,2.14,3.84,0.38,3.95,,,,
September,,,,,,4.24,2.11,1.95,1.17,1.99,0.24,2.21,2.08,2.3,2.39,5.22,1.3,2.9,2.76,4.04,4.7,2.92,2.69,2.85,2.47,4.09,,,,
October,,,,,,1.8,4.18,3.41,5.07,4.46,1.55,4.06,4.56,4.54,3.97,1.62,1.04,2.41,8.55,1.02,0.69,5,5.15,2.98,4.48,3.26,,,,
November,,,,,,3,1.91,5.24,7.05,9.07,3.48,1.32,1.9,6.17,0.29,7.54,1.52,1.82,4.27,6.02,10,3.65,2.23,7.13,3.22,0.79,,,,
December,,,,,,3.9,3.73,4.94,2,2.17,2.24,5.1,2.32,3.07,5.21,3.41,3.35,5.48,1.74,2.35,3.25,2.85,0.9,3.02,4.32,6.2,,,,
Total,,,,,,34.7,38.93,29.53,37,33.37,29.94,31.62,29.63,30.24,26.64,41.08,25.91,35.23,28.69,38.28,49.72,31.23,27.54,37.83,30.12,31.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Terminated Property sold. Observer was gardener but new owner cannot continue record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
