OAKWOOD RESERVOIR,,,,,,,,,,,,
Grid ref,TQ823882,Long,0.628696,Lat,51.563209,,,,,,,
Station no,1275/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.49,1.14,2.03,1.69,2.15,,
February,,,,,,0.30,2.56,1.53,0.07,1.38,,
March,,,,,,0.62,0.93,1.25,1.21,1.39,,
April,,,,,,1.30,0.13,1.20,1.86,0.37,,
May,,,,,,0.33,1.26,1.94,1.02,2.52,,
June,,,,,,1.61,1.19,5.07,0.97,1.60,,
July,,,,,,3.12,2.99,2.77,1.48,2.58,,
August,,,,,,2.97,2.50,3.97,0.86,3.25,,
September,,,,,,1.70,3.16,3.76,0.12,3.79,,
October,,,,,,1.09,1.59,2.73,2.39,5.52,,
November,,,,,,0.35,2.23,1.46,3.03,3.02,,
December,,,,,,2.07,2.04,3.03,2.93,2.47,,
Total,,,,,,18.95,21.72,30.74,17.63,30.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.95,21.72,30.74,17.63,30.04,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
