"RUSPER (THE NUNNERY)",,,,,,,,,,,,
Grid ref,TQ191364,Long,-0.299867,Lat,51.114524,,,,,,,
Station no,472,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.12,2.69,1.30,1.59,3.58,5.01,2.67,3.39,2.81,3.15,,
February,6.78,0.95,1.52,2.58,1.88,0.53,5.13,2.57,0.06,2.23,,
March,3.96,3.29,0.32,3.28,1.40,0.98,1.60,2.25,2.73,1.63,,
April,2.92,1.73,2.50,0.37,0.36,1.71,0.15,1.14,3.09,0.87,,
May,2.52,2.61,2.00,3.02,3.97,0.36,1.11,2.86,0.55,1.45,,
June,1.60,1.58,1.46,4.58,2.30,2.62,1.23,4.77,2.04,2.02,,
July,1.87,1.72,3.99,3.47,0.59,3.37,4.01,1.78,1.34,3.96,,
August,5.36,2.87,2.13,3.02,1.00,3.20,3.71,3.03,2.04,3.73,,
September,3.45,3.12,4.47,2.91,2.12,3.55,3.17,5.08,0.09,3.78,,
October,1.31,3.50,4.00,2.99,4.00,1.46,1.98,3.97,3.41,6.25,,
November,6.93,3.88,1.79,6.85,1.50,0.98,2.67,2.61,3.56,6.55,,
December,4.12,2.83,0.87,2.62,3.70,5.32,3.08,4.11,7.26,3.85,,
Total,44.94,30.77,26.35,37.28,26.40,29.09,30.51,37.56,28.98,39.47,,
Calc annual,44.94,30.77,26.35,37.28,26.40,29.09,30.51,37.56,28.98,39.47,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
