BLACK-MOUNTAINS-PEN-Y-MANLLWYN-GAUGE-2b,,,,,,,,,,
Grid ref,SO207312,Long,-3.1558406,Lat,51.973588,Elevation,2512,ft.,,
Station no,RR6209,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.27,5.27,,,3.46,3,,
February,,,5.17,2.86,,,,1.8,,
March,,,7.02,6.62,,0.94,,5,,
April,,,0.46,6.56,1.85,1.69,2.16,3.02,,
May,,,2.22,4.52,3.07,,4.3,6.2,,
June,,,5.41,1.92,2.97,1.55,3.27,3.55,,
July,,0.96,5.92,1.2,,6.18,2.49,3.76,,
August,,3.24,12.06,3.47,3.98,5,2.99,11.75,,
September,,,1.97,3.64,2.86,1.05,,4,,
October,,4.66,5.14,8.68,4.73,6.61,8.98,7.3,,
November,,6.13,2.59,6.51,7.67,,,3.2,,
December,,11.66,6.91,2.1,9.51,,2.6,0.72,,
Total,,,60.14,53.35,,,,53.3,,
,,,,,,,,,,
NGR is the top of hill called Pen y Manllwyn. Altitudes match.,,,,,,,,,,
Gauges 2a and 2b assumed to be in same location,,,,,,,,,,
