BLACK-MOUNTAINS-PEN-Y-MANLLWYN-GAUGE-2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO207312,Long,-3.1558406,Lat,51.973588,Elevation,2512,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,,2.05,2.1,4.1,0.86,,6.94,,,2.26,,5.38,5.12,4.86,5.28,3.78,4.6,5.57,3.25,4.22,6.1,,
February,,,,,,,,,1.63,1.45,5.4,,,2.71,,,,1.98,2.41,3.61,2.11,0.45,6.25,10.94,0.75,3.74,3.42,4.88,,
March,,,,,,,,,4.9,4.4,1.8,,,,,,,,2.59,6.27,6.03,4.33,3.65,2.06,1.3,1.05,1.34,5.24,,
April,,,,,,,,,3.2,4,4.25,1.14,0.42,6.47,1.4,1.7,1.91,,3.05,4.89,7.74,0.73,3.74,3.54,4.98,3.59,3.98,1.94,,
May,,,,,,,,,4.1,2,2.9,1.64,2.16,4.71,2.54,,4.89,6.81,3.61,0.79,3.31,1.79,1.12,2.73,6.54,6.08,3.17,2.82,,
June,,,,,,,,,1.75,5.3,5.5,3.28,5.22,1.91,3.1,1.65,3.07,3.9,1.2,1.76,4.78,0.32,2.74,0.93,3.4,0.03,3.68,5.35,,
July,,,,,,,,,3.6,5.4,5.6,1.09,5.99,1.25,6.54,6.56,2.5,3.38,6.23,1.92,7.84,1.98,4.93,3.25,6.7,5.06,4.99,5.13,,
August,,,,,,,,,6.05,2.55,8.55,3.18,,3.12,3.87,5.39,2.84,11.33,3.69,3.69,2.06,6.09,5.25,3.99,6.41,4.03,5.11,9.73,,
September,,,,,,,,,3.3,4.4,0.95,3.87,1.93,3.61,2.77,1.14,3.3,3.37,8.74,2.32,5.42,2.71,3.62,4.12,9.57,4.36,2.83,8.03,,
October,,,,,,,,,2.8,8.2,4.13,4.31,5.35,8.49,5.15,5.44,8.34,5.39,2.52,3.15,6.24,2.31,1.3,8.55,6.41,6.36,3.84,8.21,,
November,,,,,,,,2,3.45,2.05,5.72,6.07,,6.51,5.97,3.5,5.73,2.48,3.86,2.14,1.77,3.49,2.03,3.58,3.53,3.04,10.82,4.67,,
December,,,,,,,,4,5.05,6.25,7.45,,,2.56,,9.5,3.34,1.66,6.31,6.04,4.9,4.66,4.6,3.09,7.66,4.76,1.22,3.67,,
Total,,,,,,,,,41.88,48.1,56.35,,,,,,,,49.59,41.7,57.06,34.14,43.01,51.38,62.82,45.35,48.62,65.77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the top of hill called Pen y Manllwyn. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauges 2a and 2b assumed to be in same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
