"WEARDALE WW WASKERLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,7.55,0.92,2.50,1.70,4.60,,
February,,,,,,2.44,0.66,1.98,2.61,1.63,,
March,,,,,,2.53,3.82,4.89,1.96,1.42,,
April,,,,,,1.49,0.99,1.79,2.47,3.86,,
May,,,,,,0.98,0.62,1.71,2.36,3.95,,
June,,,,,,1.91,2.45,3.76,1.85,0.93,,
July,,,,,,6.48,2.63,0.67,0.86,4.95,,
August,,,,,,2.63,2.29,3.33,2.95,0.94,,
September,,,,,,0.34,4.07,2.78,0.85,4.26,,
October,,,,,,4.98,6.54,1.90,6.58,1.96,,
November,,,,,,4.06,2.60,1.78,2.87,2.82,,
December,,,,,,3.10,5.55,3.74,3.12,3.12,,
Total,29.90,37.16,31.46,23.29,-999.00,38.49,33.14,30.83,30.18,34.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,38.49,33.14,30.83,30.18,34.44,,
Difference,29.90,37.16,31.46,23.29,-999.00,0.00,0.00,-0.00,0.00,0.00,,
