"EASTWOOD COLLIERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,3.49,2.11,1.37,1.57,2.09,4.22,0.75,1.94,0.95,3.10,,
February,0.83,0.10,1.57,2.88,2.17,0.25,0.79,3.04,1.28,1.38,,
March,1.43,1.25,1.05,0.36,1.19,1.85,3.14,2.45,1.29,1.13,,
April,0.44,2.05,0.70,0.74,1.96,1.86,0.87,2.07,1.63,2.42,,
May,1.80,2.75,2.72,2.98,1.52,0.60,0.39,1.33,2.58,3.45,,
June,2.03,3.72,4.27,1.04,1.96,0.81,2.69,2.56,1.41,2.36,,
July,2.29,2.34,2.07,3.81,2.11,4.48,2.09,0.56,1.22,2.32,,
August,3.46,4.14,2.50,1.68,1.93,1.94,1.73,2.37,2.69,0.44,,
September,1.50,1.78,3.12,1.34,0.45,0.61,3.81,2.46,0.46,3.20,,
October,1.26,4.68,3.30,1.45,2.48,2.71,3.19,1.14,3.21,3.01,,
November,3.48,3.01,1.23,1.52,1.85,3.12,1.29,2.37,2.36,1.28,,
December,0.95,4.08,1.08,2.49,2.19,2.35,4.35,3.57,2.08,2.33,,
Total,22.96,32.01,24.98,21.86,21.90,24.80,25.09,25.86,21.16,26.42,,
Calc annual,22.96,32.01,24.98,21.86,21.90,24.80,25.09,25.86,21.16,26.42,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,,
