"SOUTHAM STOCKTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.08,1.89,0.78,1.60,,,,,,,,
February,0.66,0.06,0.83,2.67,,,,,,,,
March,1.37,0.89,0.55,0.14,,,,,,,,
April,0.94,1.59,0.88,0.32,,,,,,,,
May,1.06,2.33,1.58,2.06,,,,,,,,
June,1.40,1.74,2.23,1.15,,,,,,,,
July,2.73,1.74,2.67,3.37,,,,,,,,
August,1.88,3.90,1.94,1.44,,,,,,,,
September,1.26,1.30,1.86,0.96,,,,,,,,
October,1.50,4.80,3.08,,,,,,,,,
November,2.56,1.80,1.55,,,,,,,,,
December,0.70,2.48,1.52,,,,,,,,,
Total,18.14,24.52,19.47,,,,,,,,,
Calc annual,18.14,24.52,19.47,13.71,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
