"DONERAILE CARKER HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,3.86,1.45,3.33,2.07,4.97,,
February,,,,,,1.63,1.49,1.83,2.88,3.16,,
March,,,,,1.83,2.96,4.32,5.82,0.81,1.13,,
April,,,,,3.97,1.89,1.01,4.57,3.92,4.57,,
May,,,,,1.60,0.44,0.32,1.87,3.10,2.23,,
June,,,,,1.96,2.99,2.66,3.83,2.78,1.63,,
July,,,,,2.94,3.14,4.47,2.15,2.09,1.79,,
August,,,,,2.72,4.45,2.16,5.53,4.59,1.83,,
September,,,,,1.08,1.20,5.81,2.65,3.05,1.45,,
October,,,,,4.39,2.77,3.69,4.72,3.56,1.69,,
November,,,,,3.83,6.07,1.33,4.98,4.37,3.00,,
December,,,,,2.90,7.44,4.85,4.79,2.19,9.38,,
Total,,,,,,38.84,33.56,46.07,35.41,36.83,,
Calc annual,0.00,0.00,0.00,0.00,27.22,38.84,33.56,46.07,35.41,36.83,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
