"SCARBOROUGH WEST BANK & SOUTH CLIFF",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.04,1.03,1.38,1.81,1.72,4.98,,,,,,
February,1.97,0.16,2.13,3.19,2.55,1.61,,,,,,
March,1.96,2.66,1.14,0.18,0.96,1.57,,,,,,
April,0.92,1.75,1.26,0.61,1.41,1.16,,,,,,
May,2.61,2.92,3.21,1.44,1.73,0.91,,,,,,
June,2.19,0.40,4.18,1.65,4.24,2.68,,,,,,
July,1.65,3.70,1.25,2.57,2.57,5.61,,,,,,
August,3.87,4.14,2.31,1.34,3.38,2.14,,,,,,
September,1.57,1.59,1.21,1.52,2.16,1.47,,,,,,
October,2.21,3.41,6.81,1.78,4.74,3.92,,,,,,
November,2.91,2.73,1.67,3.96,1.36,2.61,,,,,,
December,0.99,2.78,1.06,2.08,2.20,1.60,,,,,,
Total,24.89,27.27,27.61,22.13,29.02,30.26,,,,,,
Calc annual,24.89,27.27,27.61,22.13,29.02,30.26,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
