"NEWBURY BENHAM PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,2.72,0.54,2.24,0.48,3.76,,
February,,,,,,0.15,0.42,2.69,1.64,3.34,,
March,,,,,,1.30,3.51,4.92,0.79,0.66,,
April,,,,,,1.72,0.59,1.42,1.86,2.75,,
May,,,,,,0.44,0.38,1.29,2.75,1.79,,
June,,,,,,0.55,3.63,2.15,1.14,1.30,,
July,,,,,,3.28,0.82,0.85,0.53,0.35,,
August,,,,,,3.04,2.28,2.46,0.56,1.09,,
September,,,,,,1.06,5.43,3.34,0.70,2.49,,
October,,,,,,3.07,2.70,1.32,4.31,1.84,,
November,,,,,,4.29,0.96,0.85,3.39,2.19,,
December,,,,,,1.93,3.91,4.49,2.87,1.41,,
Total,,,,,,23.55,25.17,28.02,21.02,22.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.55,25.17,28.02,21.02,22.97,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,,
