"STRATHCONAN (BEAULY) DALBREAC LODGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,11.72,5.10,7.39,5.87,7.35,4.58,6.00,1.70,4.72,3.79,,
February,1.50,3.09,4.13,5.34,12.19,3.37,1.98,3.95,10.91,2.11,,
March,6.04,6.20,1.42,3.78,7.33,4.22,8.10,6.18,4.97,2.87,,
April,3.63,0.94,3.82,2.35,0.63,3.01,5.33,2.92,5.05,5.78,,
May,1.38,3.88,3.32,2.38,4.74,2.28,1.26,4.19,3.71,2.64,,
June,3.58,0.94,2.56,1.72,3.27,5.71,5.03,2.39,3.31,0.92,,
July,3.99,2.87,2.78,2.86,2.98,5.50,2.55,4.30,2.38,4.06,,
August,5.33,2.68,4.09,3.28,4.37,6.60,3.15,2.98,5.95,1.21,,
September,2.09,3.54,5.50,7.16,0.43,3.25,6.57,5.42,4.61,8.30,,
October,8.20,3.42,5.17,9.79,1.42,5.15,7.01,4.23,3.75,4.42,,
November,5.42,3.92,2.65,8.19,3.01,5.41,1.53,4.15,8.44,6.00,,
December,1.10,5.48,4.56,10.47,7.99,7.32,4.31,8.91,9.44,4.03,,
Total,53.98,42.06,47.39,63.19,55.71,56.40,52.82,51.32,67.24,46.13,,
Calc annual,53.98,42.06,47.39,63.19,55.71,56.40,52.82,51.32,67.24,46.13,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
