"HACKNEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,0.55,,,,,,,,,
February,,,1.76,,,,,,,,,
March,,,1.11,,,,,,,,,
April,,,1.13,,,,,,,,,
May,,,1.49,,,,,,,,,
June,,,2.41,,,,,,,,,
July,,,1.54,,,,,,,,,
August,,,3.14,,,,,,,,,
September,,,2.35,,,,,,,,,
October,,,3.92,,,,,,,,,
November,,,2.67,,,,,,,,,
December,,,1.27,,,,,,,,,
Total,,,23.34,,,,,,,,,
Calc annual,0.00,0.00,23.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
