"BOOKHAM LODGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,1.85,0.43,1.56,2.89,1.70,0.61,1.90,0.79,2.56,,
February,,0.01,1.02,3.03,1.40,0.12,0.27,2.34,1.18,2.35,,
March,,2.15,1.20,0.41,1.06,1.15,2.90,3.99,1.29,0.59,,
April,,0.66,0.90,0.14,1.60,1.35,0.54,1.20,0.90,2.38,,
May,,2.91,1.06,0.65,1.59,0.75,0.20,1.65,3.65,1.80,,
June,,1.25,1.81,0.80,1.89,0.24,2.54,1.66,1.37,1.22,,
July,,2.87,2.30,2.15,3.49,4.20,1.24,2.17,0.45,0.63,,
August,,4.30,3.02,0.55,2.63,2.49,2.33,2.68,1.31,0.42,,
September,,1.17,1.93,1.26,1.35,0.75,6.63,1.95,0.65,2.27,,
October,,5.64,3.70,3.75,5.03,2.78,2.86,0.71,3.15,2.31,,
November,,2.76,2.36,2.09,3.40,3.54,1.55,1.15,3.47,4.69,,
December,,2.97,1.36,2.25,1.77,1.85,3.46,2.91,2.70,1.79,,
Total,19.88,28.54,21.09,18.64,28.10,20.92,25.13,24.31,20.91,23.01,,
Calc annual,0.00,28.54,21.09,18.64,28.10,20.92,25.13,24.31,20.91,23.01,,
Difference,19.88,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
