"UPWAY WESTBROOK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,,,1.38,,,
February,,,,,,,,,2.01,,,
March,,,,,,,,,1.33,,,
April,,,,,,,,,1.65,,,
May,,,,,,,,,3.83,,,
June,,,,,,,,,1.02,,,
July,,,,,,,,,0.16,,,
August,,,,,,,,,1.50,,,
September,,,,,,,,,1.38,,,
October,,,,,,,,,4.85,,,
November,,,,,,,,,3.68,,,
December,,,,,,,,,3.60,,,
Total,,,,,,,,,26.49,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.39,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10,NaN,,
