"CRUMLIN LANGFORD LODGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,1.98,1.81,,,,,,,,
February,,,1.09,2.40,,,,,,,,
March,,,0.59,1.00,,,,,,,,
April,,,0.69,0.94,,,,,,,,
May,,,3.70,1.10,,,,,,,,
June,,,3.01,1.51,,,,,,,,
July,,,2.37,2.37,,,,,,,,
August,,,4.99,4.87,,,,,,,,
September,,,2.09,1.70,,,,,,,,
October,,,2.93,1.66,,,,,,,,
November,,,3.15,1.10,,,,,,,,
December,,,2.71,2.19,,,,,,,,
Total,,,29.30,22.65,,,,,,,,
Calc annual,0.00,0.00,29.30,22.65,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
