"WORCESTER DIGLIS LOCK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2388,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.55,1.72,2.01,1.69,1.92,3.32,0.44,1.93,0.54,3.39,,
February,0.51,0.09,1.04,2.02,2.21,0.18,0.23,2.34,1.35,2.53,,
March,0.92,1.37,0.70,0.31,0.96,1.62,2.31,3.11,0.37,0.47,,
April,1.09,1.29,0.55,0.27,1.23,1.82,0.74,1.12,1.55,1.84,,
May,1.98,3.51,1.93,2.48,2.89,0.77,0.30,1.03,4.00,2.13,,
June,2.23,2.56,1.70,0.89,2.07,3.60,1.69,2.78,1.34,1.18,,
July,1.91,2.30,0.97,1.73,2.58,3.33,1.81,0.54,0.74,1.44,,
August,2.44,3.75,2.66,1.88,2.30,2.20,1.38,4.55,2.34,1.47,,
September,0.81,0.91,2.27,1.03,1.79,0.29,3.66,2.12,0.61,3.12,,
October,1.09,5.85,1.40,1.53,2.19,2.24,1.56,1.72,2.90,2.10,,
November,2.14,2.07,2.30,1.06,3.02,3.25,0.73,1.61,1.62,1.72,,
December,0.80,3.13,0.84,2.59,1.85,1.53,2.65,2.57,2.56,2.73,,
Total,18.47,28.55,18.37,17.48,25.01,24.15,17.50,25.42,19.92,24.12,,
Calc annual,18.47,28.55,18.37,17.48,25.01,24.15,17.50,25.42,19.92,24.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
