"PLYMOUTH HOE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1635,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,2.88,3.55,5.57,1.25,3.30,1.36,5.53,,
February,,,,5.73,2.62,0.03,0.73,4.07,1.42,4.69,,
March,,,,0.25,1.93,2.95,3.87,5.22,1.54,0.84,,
April,,,,0.65,3.13,2.43,0.28,5.04,1.69,3.42,,
May,,,,1.65,2.47,1.00,0.01,1.68,4.02,2.26,,
June,,,,0.84,2.55,2.59,1.68,1.82,2.50,1.72,,
July,,,,5.03,4.51,3.37,1.64,1.11,0.25,1.33,,
August,,,,1.95,3.02,3.58,1.83,5.85,2.76,1.23,,
September,,,,2.70,2.38,0.43,5.29,2.56,0.97,2.44,,
October,,,,3.28,5.07,3.79,2.96,0.95,5.31,2.86,,
November,,,2.81,1.62,7.69,6.25,1.03,1.94,3.16,3.51,,
December,,,1.95,4.34,3.52,5.77,8.52,6.82,4.18,4.26,,
Total,,,,30.92,42.44,37.76,29.09,40.36,29.16,34.09,,
Calc annual,0.00,0.00,4.76,30.92,42.44,37.76,29.09,40.36,29.16,34.09,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
