ANSTEY-HALL-FARM,,,,,,,,,,
Grid ref,TL405329,Long,0.044175,Lat,51.97681,Elevation,410,ft,,
Station no,970/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.22,2.37,2.19
February,,,,,,,,1.93,0.07,1.55
March,,,,,,,0.62,0.99,1.75,1.06
April,,,,,,,0.25,1.06,1.85,0.47
May,,,,,,,0.84,2.32,0.53,1.16
June,,,,,,,1.56,6.02,0.87,2.14
July,,,,,,,5.71,3.8,4.78,2.76
August,,,,,,,2.42,3.58,0.78,2.66
September,,,,,,,3.08,2.61,0.11,3.93
October,,,,,,,1.72,2.49,1.4,5.39
November,,,,,,,1.87,2.09,1.95,2.68
December,,,,,,,2.25,2.76,4.13,3.14
Total,,,,,,,,31.87,20.59,29.13
