UCKFIELD-LAWRENCE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ4747621235,Long,0.099090516,Lat,50.971657,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,510/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.94,0.72,4.87,6.44,4.23,6.22,3.34,3.79,3.71,6.13,2.49,2.11,2.82,2.52,6.09,1.94,1.27,3.75,,,,,,,,,
February,,,,0.14,4.68,2.06,5.26,0.85,1.68,3.3,3.88,0.74,1.36,1.01,2.06,2.88,2.46,1.56,1.57,5.73,6.59,,,,,,,,,
March,,,,3.04,0.53,1.45,4.23,0.54,1.56,3.53,3.04,3.24,0.39,0.11,1.55,1.9,5.61,0.97,1.1,1.52,3.6,,,,,,,,,
April,,,,3.06,3.61,1.96,2.87,0.52,2.63,1.11,1.73,1.27,1.83,1.46,1.02,1.85,1.99,1.23,1.51,2.23,3.08,,,,,,,,,
May,,,,0.56,2.01,0.3,2.82,2.42,1.6,1.29,2.19,3.08,2.71,0.97,2.6,2.79,2.02,2.37,1.9,1.03,2.55,,,,,,,,,
June,,,,1.8,2.45,3.5,1.92,0.85,2.16,0.17,1.76,0.19,1.2,1.52,1.43,2.71,2.13,3.04,0.96,1,,,,,,,,,,
July,,,,2.37,0.57,4.07,1.07,2.19,3.45,4.31,3.03,2.34,1.75,2.18,5.49,1.75,2.68,1.76,0.07,2.58,,,,,,,,,,
August,,,,2.37,4.53,0.5,1.78,2.61,2.54,0.1,5.07,3.3,1.42,2.99,2.71,7.4,0.29,5.31,2.09,2.23,,,,,,,,,,
September,,,,1.58,6.78,2.73,2.1,2.83,0.39,1.93,0.43,2.93,2.42,2.65,2.6,3.09,1.51,2.23,2.54,2.6,,,,,,,,,,
October,,,,2.55,4.63,1.36,3.81,4.25,7.01,4.35,1.41,3.82,3.43,4.86,3.8,1.29,0.87,2.08,8.45,0.74,,,,,,,,,,
November,,,,4.03,8.42,5.15,1.98,3.66,6.72,7.21,3.7,1.72,1.89,4.78,0.24,5.51,1.29,1.89,4.34,6.8,,,,,,,,,,
December,,,,8.68,4.11,3.58,3.91,3.99,1.84,2.41,1.91,3.19,2.28,2.32,4.28,3.85,2.8,3.86,1.52,2.23,,,,,,,,,,
Total,,,,33.12,43.04,31.53,38.19,28.94,37.8,33.05,31.94,29.53,26.81,27.34,29.89,37.84,26.17,32.39,27.99,29.96,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 1 Jun Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
