SWANSEA-WW-CRAY-RES-OTHER,,,,,,,,,,,,,,,,,,,,
Grid ref,SN882214,Long,-3.6256055,Lat,51.879921,Elevation,1030,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,3.44,,,,,,6.3,5.95,2.29,,
February,,,,,,,,,,1.33,,,,,,11.03,9.65,1.63,,
March,,,,,,,,,,6.44,,,,,,1.88,4.07,4.83,,
April,,,,,,,,,,,,,,,,2.91,3.97,3.97,,
May,,,,,,,,,,2.74,,,,,,3.48,3.86,4.36,,
June,,,,,,,,,,4.28,,,,,,2.14,4.35,3.85,,
July,,,,,,,,,,4.67,,,,,,7.48,3.1,4.36,,
August,,,,,,,,,,2.5,,,,,,3.22,5.93,16.01,,
September,,,,,,,,,,4.97,,,,,,1.05,3.4,3.11,,
October,,,,,,,,,,13.18,,,,,,4.67,14.88,9.31,,
November,,,,,,,,,,,,,,,,4.71,7.53,5.3,,
December,,,,,,,,,,,,,,,,15.03,5.18,2.6,,
Total,,,,,,,,,,,,,,,,63.9,71.87,61.62,,
,,,,,,,,,,,,,,,,,,,,
NGR is the centre of the reservoir and the gauge could be up to +/- 1km N/S and/or 400m E/W,,,,,,,,,,,,,,,,,,,,
