LITTLEBOROUGH BLACKSTONE EDGE LENCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE009178,Long,-1.987858,Lat,53.656693,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,5.2,4.6,2.3,3,4.2,2,6.5,4.7,4.8,5.7,2.6,7.2,4.9,1.2,0.8,0.9,4.5,7.5,6.9,2.5,6,3,2,3.6,6,3.6,4,1.3,3.9,2.9,2.6,1.5,4.3,8.4,7.2,2.7,3.2,4.7,3.8,2.1,5.9,1.79,4.09,2.41,7.6,1.84,-999,3.72,3.42,6.4,4.03,-999,2.9,-999,4.05,6.8,3.04,,,,,,,,
February,,,,,,,6.9,4.9,4.7,7.7,2.3,4.2,4.5,0.6,2.1,1.2,5.7,5.7,2,3.6,2.7,5.5,2.9,2.9,3.9,3.5,0.8,1.3,0.7,2.6,0.9,0.3,3.2,5.7,7.5,0.1,1.7,2.9,4.2,1.4,3.5,1.2,1.5,3.7,3.3,2,3.1,2,2.53,1.7,2.11,5.26,-999,1.83,3.54,4.56,-999,-999,7.03,-999,3.76,0.65,4.38,,,,,,,,
March,,,,,,,2.9,2.5,4.7,3,2.8,1.4,4.4,2.6,4.6,1.2,4.9,4.3,2.9,1.5,3,4.1,3.8,0.6,2.1,2.7,3.4,2.1,3.4,2.7,4.2,2.1,0.9,1.8,5.1,4.4,7.6,6,3.1,2.2,0.6,3.9,2,6.2,1.9,3.7,3.7,3.98,2.93,2.7,0.85,2.04,5.11,5.41,5.03,-999,-999,-999,1.66,-999,3.15,3.67,2.77,,,,,,,,
April,,,,,,,2.1,4.9,2.8,3,1.1,3.9,4.4,0.2,2,1.3,2.9,2.8,1.8,1.9,3.3,1.3,4.8,1.6,1.6,2.4,2.8,1,2.7,3.8,1.4,2.5,1.5,0.6,2,2.9,1.9,3.9,2.7,4,3.1,2.7,2.1,1.8,3,3,1.4,2.38,1.78,4.05,3.55,2.36,1.02,4.29,1.45,-999,3.51,-999,1.4,1.83,5.92,1.34,2.68,,,,,,,,
May,,,,,,,0.9,3.1,1.5,4.3,1.2,1.7,2.9,2.8,1.9,2.6,0.7,4.2,5.4,1.4,2.8,4.6,1.7,0.7,1.6,2,5.2,2.1,0.7,2.5,3.4,4,4.6,2.6,2.8,0.7,0.7,1.8,3.5,3.3,2.1,1.8,2.8,3.9,2,0.7,2.6,4.36,2.56,2.1,2.37,1.55,2.62,3.33,2.31,3.83,2.49,1.98,2.01,2.1,6.05,2.3,1.12,,,,,,,,
June,,,,,,,5.8,3.5,1.2,0.5,2.6,4,7.3,2.1,1.4,3.9,3.7,2.8,2.6,4.9,3.3,1.9,5.9,4.7,1,3.9,1.9,0.8,2.9,0.7,3.9,1.5,3.9,2.3,3.2,3.2,2.8,4.5,3.7,1.6,4.5,2.1,1.4,1.5,2,2.5,2.5,8.56,2.18,2.63,3.54,2.62,6.25,3.33,2.12,0.45,3.02,2.18,1.38,1.82,2.71,0.07,2.14,,,,,,,,
July,,,,,,,6.7,5.1,0.3,2.1,0.9,5.5,4.1,5.1,2.4,6.1,3.3,5.3,0.5,5.4,5.1,3.3,3.7,2.2,4.6,1.4,5.1,1.9,6.8,4.7,3.9,3.1,3.6,3.6,3.3,5.8,3.2,2.1,1.2,2.9,3.1,2.1,2.6,5.2,1.9,3.1,2.2,3.18,4.5,5.74,4.08,0.88,2.63,0.95,3.54,4.96,2.4,2.16,4.8,1.57,9.7,1.96,4.43,,,,,,,,
August,,,,,,,5.5,1.8,5.5,2.4,2,1.6,4,4.9,6.4,3.4,5.5,4.5,6,4.8,2.3,5.1,2.4,2,1.4,1.4,1.5,1.4,4.6,7.3,5.8,8.7,5.8,3.4,4.8,5.4,3.1,4.4,7.7,1.1,5.9,2.6,3.2,5.7,5.3,6.3,4.5,4.47,3.71,2.95,5.54,2.58,7.96,2.27,3.85,4.25,3.55,7.19,2.99,4.04,2.26,6.46,5.5,,,,,,,,
September,,,,,,,3.1,3.8,3.4,7.4,4,5.1,7.3,3.3,4.2,6.2,5,4.9,4.6,2.7,4.7,2.3,2,6.3,1.6,6.5,4,6.6,1.6,2.2,1.6,4.2,4.7,4.8,0.3,2.1,9.3,4.7,0.9,8.9,2.1,1,2.6,6.1,0.9,2.4,1.1,1.25,4.08,3.05,0.26,3.92,2.59,1.5,3.27,1.22,2.4,2.83,13.15,1.93,2.2,1.82,3.12,,,,,,,,
October,,,,,,,6.8,2.3,4.6,0.8,11.5,5.2,6.7,6.5,5.6,5.9,3.8,6.6,4.4,2.2,3.3,3.3,3.2,5.4,1.8,8.1,4.9,3.2,1.9,4.9,4.7,6.5,8,4.4,5.4,4.9,5.3,2.4,5.1,4.1,6.6,3.2,5,9.4,2.5,3.4,7.4,5.22,2.17,5.95,2.8,3.18,5.8,2.2,2.59,1.49,8.4,9.19,4.25,2.98,1.45,2.85,1.04,,,,,,,,
