GAIRLOCH (OPINAN),,,,,,,,,,,,,,,,,,,,
Grid ref,NG746729,Long,-5.783317,Lat,57.689269,Elevation,50,ft,,,,,,,,,,,,
Station no,RR2976,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,5.36,4.71,4.14,2.54,4.04,4.6,3.1,0.82,1.09,2.86,3.75,4.86,3.16,3.29,,,,
February,,,4.62,1.9,4.79,1.92,4.51,3.73,6.33,2.56,3.63,2.27,4.39,2.01,3.22,,,,,
March,,,1.73,2.16,4.39,1.81,1.42,5.54,3.67,1.97,1.42,1.86,2.51,3.98,2.91,,,,,
April,,,3.41,3.54,2.16,1.54,0.78,1.08,2.72,2.4,2.12,1.17,3.49,1.38,1.1,,,,,
May,,,1.05,2.23,1.79,1.22,1.81,4.19,1.29,1.55,0.51,1.57,2.81,2.43,2.96,,,,,
June,,,2.53,2.03,3.48,0.99,1.99,4.25,1.31,2.41,0.93,2.36,3.52,4.4,4.19,,,,,
July,,,2.56,4.79,2.86,3.73,3.42,3.07,7.84,6.21,5.27,5.13,3.54,1.42,2.63,,,,,
August,,,5.91,3.9,4.53,3.56,2.68,4,1.34,4.4,5.74,5.22,4.37,4.65,2.34,,,,,
September,,,0.74,6.59,7.28,3.36,4.48,4.85,2.28,3.3,2.36,5.38,3.99,3.43,4.94,,,,,
October,,,4,7.36,7.14,6.08,2.73,9.22,1.23,4.55,3.96,6.93,5.7,5.52,3.81,,,,,
November,,,3.25,3.6,2.62,3.23,1.23,8.51,5.79,5.42,3.05,2.66,4.17,4.53,0.8,,,,,
December,,,2.13,4.29,3.46,5.48,2.19,5.2,1.83,4.04,3.51,5.56,1.9,5.26,3.53,,,,,
Total,,,37.29,47.1,48.64,35.46,31.28,58.24,38.73,39.63,33.59,42.97,44.14,43.87,35.59,,,,,
,,,,,,,,,,,,,,,,,,,,
1933 total fixed to be Total Calc,,,,,,,,,,,,,,,,,,,,
1934 Au corr to 3.9,,,,,,,,,,,,,,,,,,,,
