GAIRLOCH (OPINAN) NEW G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG746729,Long,-5.783317,Lat,57.689269,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.13,0.83,1.18,2.98,4.04,5.21,3.38,3.42,2.24,3.68,4.61,3.95,4.5,,3.04,4.4,3.04,4.71,7.45,,,
February,,,,,,,,,6.4,2.77,3.95,2.4,4.68,2.3,3.3,,0.19,3.46,3.56,2.9,2.19,,3.07,3.49,3.46,3.13,3.56,,,
March,,,,,,,,,3.65,2.06,1.43,1.89,2.83,4.19,2.97,,1.48,3.46,1.45,2.79,2.61,,1.71,3.64,1.62,0.99,,,,
April,,,,,,,,,2.75,2.55,2.24,1.21,3.65,1.4,1.25,,4.16,3.14,3.07,2.9,3.58,,4.53,1.54,2.05,0.94,,,,
May,,,,,,,,,1.38,1.7,0.52,1.59,2.89,2.47,2.96,,1.27,1.71,2.56,0.82,0.93,2.55,2.99,3.58,2.67,5.5,,,,
June,,,,,,,,,1.3,2.45,0.97,2.67,3.57,4.51,4.45,,2.9,2.24,1.41,3.97,1.51,2.89,1.89,4.31,2.89,2.35,,,,
July,,,,,,,,,7.84,6.29,5.32,5.39,3.63,1.47,2.67,,2.26,2.34,1.34,2.81,3.43,2.62,4.9,3.47,1.04,4.89,,,,
August,,,,,,,,,1.37,4.7,5.87,5.3,4.43,4.77,2.36,,0.07,3.76,5.3,3.63,3.8,,6.1,2.93,0.85,3.99,,,,
September,,,,,,,,,2.32,3.51,2.42,5.77,4.14,3.7,5.25,,7.7,6.09,3.48,6.15,3,4.49,3.97,5.53,6.76,2.77,,,,
October,,,,,,,,9.43,1.23,4.87,4.25,7.27,6.05,5.88,3.89,,2.24,4.76,4.37,3.91,3.74,4.09,4.26,7.84,6.28,5.5,,,,
November,,,,,,,,8.59,6.06,5.41,3.3,2.9,4.81,4.69,0.8,,6.54,4.76,3.27,4.4,3.97,4.18,11.33,5.98,1.78,5.56,,,,
December,,,,,,,,5.18,1.85,4.33,3.88,5.92,1.99,5.52,3.63,,2.96,4.47,9.86,2.79,5.18,6.02,4.72,5.39,5.61,5.84,,,,
Total,,,,,,,,,39.28,41.47,35.33,45.29,46.71,46.11,36.91,,34.01,43.87,44.28,41.02,38.44,,52.51,52.1,38.05,46.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Sep Deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-8 Transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed from British ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Deletions estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
