LINCOLN D'ISNEY PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK980719,Long,-0.533,Lat,53.235,Elevation,215,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,1.68,2.67,2.09,0.53,1.49,2.12,1.20,0.91,1.94,2.12,3.41,1.03,2.44,0.79,1.83,2.88,0.72,0.89,1.93,1.81,0.74,2.59,0.89,1.06,1.42,1.82,1.21,3.04,2.85,1.42,2.42,0.62,2.59,1.68,2.88,1.72,1.78
February,2.91,0.45,0.67,1.40,1.81,1.04,0.06,1.83,2.21,1.51,0.31,0.71,3.06,0.63,1.28,2.83,1.77,1.49,0.59,2.53,0.52,2.01,1.50,1.87,0.58,2.17,0.92,1.09,0.72,0.92,2.65,3.62,0.88,1.49,2.19,1.68,0.24
March,1.25,2.60,1.43,2.55,3.29,1.49,1.16,0.96,0.25,0.62,2.17,1.74,2.29,1.48,0.79,0.72,2.31,1.36,3.05,1.62,1.67,1.71,1.42,2.19,2.97,0.48,1.70,2.38,2.77,1.79,0.80,3.61,1.64,0.73,2.69,2.78,0.65
April,1.94,1.64,1.31,1.93,2.18,0.48,1.54,1.20,0.22,2.20,1.50,0.69,1.39,2.48,2.37,1.17,1.29,1.67,1.41,0.83,1.54,0.89,1.57,2.76,1.72,1.75,1.39,0.23,2.17,0.97,0.65,1.65,1.61,1.30,1.99,4.75,0.73
May,2.08,4.80,1.35,0.67,3.97,2.41,3.22,3.55,1.44,1.32,0.89,0.64,1.34,2.09,3.28,1.56,0.92,2.68,2.60,2.13,0.51,1.31,3.66,2.31,0.88,2.45,0.94,2.75,1.98,1.67,2.18,2.47,1.60,1.72,0.80,2.12,1.99
June,2.25,0.87,0.33,1.20,1.01,1.58,3.28,3.62,1.27,2.96,1.36,3.29,2.96,1.28,1.44,2.57,1.84,2.29,0.90,0.51,2.41,2.13,2.49,1.50,2.88,1.64,3.29,4.20,0.79,1.83,2.04,1.39,1.07,1.03,1.30,2.19,0.50
July,0.38,1.97,0.99,5.63,2.13,2.46,2.97,3.01,2.94,3.72,4.16,2.02,0.65,0.79,0.95,1.04,2.88,1.54,2.73,3.15,1.23,1.53,1.65,2.85,3.65,2.66,0.23,3.40,0.51,2.76,4.91,1.55,1.26,2.77,2.89,2.79,0.42
August,2.53,2.07,1.13,2.26,4.51,2.44,3.26,1.76,1.62,1.57,1.90,1.44,3.49,2.49,0.47,5.12,2.18,3.09,4.62,3.21,3.56,1.68,2.33,2.27,4.07,3.42,1.29,4.50,1.38,1.48,2.49,3.96,5.22,1.79,2.67,1.02,3.36
September,3.54,1.24,3.06,1.89,1.63,1.36,1.59,2.32,0.84,0.71,0.56,4.11,2.93,0.63,1.98,0.78,0.92,0.81,3.94,1.80,1.92,0.84,0.68,1.73,1.39,0.31,1.72,1.27,2.08,0.73,0.72,1.61,0.96,3.24,1.87,1.85,0.75
October,4.35,3.32,2.11,0.53,4.63,0.92,4.06,4.57,1.95,2.98,2.71,3.84,0.69,2.72,2.96,2.22,1.61,2.44,5.63,0.37,1.38,5.12,5.44,0.90,2.88,1.42,1.95,2.11,2.85,2.16,0.98,1.74,2.60,1.62,2.06,1.32,1.51
November,2.71,1.84,1.80,2.76,0.48,2.72,2.29,1.27,2.34,1.85,2.71,1.12,1.82,1.83,1.09,2.04,2.47,1.52,1.63,0.88,2.55,2.74,2.03,1.15,0.22,2.96,2.34,2.57,2.01,2.23,2.30,2.72,1.48,2.02,2.03,0.72,1.80
December,0.95,2.94,0.96,1.66,1.44,0.68,2.50,0.49,1.74,2.01,1.97,3.40,2.02,1.97,2.39,3.20,4.32,1.65,0.74,1.46,0.57,2.11,1.82,1.54,4.42,3.28,3.53,2.64,0.73,4.40,4.86,2.28,1.19,3.26,3.00,2.29,1.65
Total,26.57,26.41,17.23,23.01,28.57,19.70,27.13,25.49,18.76,23.57,23.65,24.03,25.08,19.18,20.83,26.13,23.23,21.43,29.77,20.30,18.60,24.66,25.48,22.13,27.08,24.36,20.51,30.18,20.84,22.36,27.00,27.22,22.10,22.65,26.37,25.23,15.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The observer A.S.Leslie Melville also recorded rainfall at Branston Hall and Longhills Hall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
