"GARVALD THORTER RESERVOIR",,,,,,,,,,,,
Grid ref,NT605696,Long,-2.633561,Lat,55.917857,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.63,3.35,1.43,,
February,,,,,,,,1.21,1.34,2.20,,
March,,,,,,,,1.53,4.29,7.46,,
April,,,,,,,,2.20,2.35,3.10,,
May,,,,,,,,2.23,1.85,2.32,,
June,,,,,,,,2.83,0.95,1.18,,
July,,,,,,,,2.55,3.68,2.73,,
August,,,,,,,,2.33,2.10,3.43,,
September,,,,,,,,1.54,2.55,3.30,,
October,,,,,,,,8.93,1.32,3.26,,
November,,,,,,,,2.34,1.60,0.50,,
December,,,,,,,,3.65,0.47,3.86,,
Total,,,,,,,,31.97,25.85,34.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.97,25.85,34.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
