"GARVALD THORTERS RES",,,,,,,,,,,,
Grid ref,NT607695,Long,-2.630346,Lat,55.916975,,,,,,,
Station no,5096,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,1.96,0.83,2.57,1.93,1.32,2.53,1.43,1.15,3.63,,
February,3.18,0.70,1.04,2.01,2.11,2.49,2.84,1.85,0.36,2.06,,
March,4.11,1.15,0.34,1.72,2.00,1.20,1.77,1.72,0.72,0.93,,
April,3.23,1.83,3.53,0.82,0.66,0.82,0.92,2.67,1.92,1.06,,
May,3.81,1.99,2.43,5.77,1.81,0.58,1.28,1.77,0.50,1.11,,
June,1.60,2.40,2.53,1.87,0.82,2.41,1.36,2.85,2.43,0.80,,
July,3.61,1.81,4.75,2.08,1.60,4.23,4.41,4.52,1.70,3.23,,
August,5.02,2.71,2.03,6.55,0.99,9.09,5.48,2.27,0.63,4.04,,
September,0.70,3.81,3.51,2.95,1.13,3.98,1.58,1.74,0.54,2.65,,
October,0.51,3.03,2.18,5.18,2.17,1.26,1.91,1.53,2.05,6.41,,
November,5.32,4.41,2.36,4.39,1.39,1.10,2.29,0.75,6.32,3.32,,
December,1.91,3.36,2.17,2.76,4.61,2.81,2.17,5.74,4.19,2.65,,
Total,36.10,29.16,27.70,38.67,21.22,31.29,28.54,28.84,22.51,31.89,,
Calc annual,36.10,29.16,27.70,38.67,21.22,31.29,28.54,28.84,22.51,31.89,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
