"KILMALCOLM WATERWORKS",,,,,,,,,,,,
Grid ref,NS317674,Long,-4.691366,Lat,55.870291,,,,,,,
Station no,5298,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,13.10,6.82,5.98,11.28,,9.31,9.28,,
February,,,,13.00,6.92,7.08,5.80,,5.93,4.55,,
March,,,,13.80,3.60,7.19,7.40,,8.38,3.80,,
April,,,,2.50,9.80,4.85,3.15,,2.80,6.25,,
May,,,,4.16,3.19,2.47,8.33,,3.56,3.36,,
June,,,,2.51,3.94,2.24,2.05,,3.71,5.08,,
July,,,,5.90,3.88,3.76,4.13,,5.30,6.07,,
August,,,,10.25,6.62,6.80,6.89,,5.30,4.63,,
September,,,,6.39,8.64,5.37,3.65,,10.60,3.27,,
October,,,,12.70,5.25,6.17,10.85,,2.76,11.89,,
November,,,,5.90,5.20,9.84,7.40,,7.38,6.25,,
December,,,,7.95,6.85,7.70,7.30,,8.53,9.76,,
Total,,,,98.16,70.71,69.45,78.23,,73.56,74.19,,
Calc annual,0.00,0.00,0.00,98.16,70.71,69.45,78.23,0.00,73.56,74.19,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,NaN,0.00,-0.00,,
