"BELPER HAZELWOOD CHEVIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2443,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,2.63,2.07,0.73,0.98,,
February,,,,,,,0.40,0.39,0.73,1.36,,
March,,,,,,,3.95,1.13,2.54,3.02,,
April,,,,,,1.81,1.95,1.03,1.89,2.37,,
May,,,,,,1.88,5.36,1.46,0.67,3.78,,
June,,,,,,3.23,1.64,0.66,1.99,0.99,,
July,,,,,,0.73,2.88,1.27,5.77,1.88,,
August,,,,,,2.23,1.96,2.03,2.44,1.37,,
September,,,,,,3.92,1.54,2.25,1.29,2.53,,
October,,,,,,5.35,5.98,1.78,0.76,3.87,,
November,,,,,,3.37,1.87,2.09,4.03,0.94,,
December,,,,,,0.55,2.70,1.66,2.70,1.93,,
Total,,,,,,,32.86,17.82,25.54,25.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.07,32.86,17.82,25.54,25.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
